LD=128
Using: cuda
Epoch 1/400 | G_loss: 1.66118 | D_loss: 0.55131 | D_real_accuracy: 94.48242 | D_fake_accuracy: 92.08984
Epoch 2/400 | G_loss: 1.63024 | D_loss: 0.55297 | D_real_accuracy: 94.09180 | D_fake_accuracy: 97.31445
Epoch 3/400 | G_loss: 1.59234 | D_loss: 0.51683 | D_real_accuracy: 98.87695 | D_fake_accuracy: 100.00000
Epoch 4/400 | G_loss: 1.60937 | D_loss: 0.53633 | D_real_accuracy: 94.77539 | D_fake_accuracy: 93.89648
Epoch 5/400 | G_loss: 1.65214 | D_loss: 0.54931 | D_real_accuracy: 95.26367 | D_fake_accuracy: 93.79883
Epoch 6/400 | G_loss: 1.70035 | D_loss: 0.55801 | D_real_accuracy: 96.14258 | D_fake_accuracy: 95.99609
Epoch 7/400 | G_loss: 1.44309 | D_loss: 0.52036 | D_real_accuracy: 98.92578 | D_fake_accuracy: 96.87500
Epoch 8/400 | G_loss: 1.42197 | D_loss: 0.50838 | D_real_accuracy: 99.21875 | D_fake_accuracy: 100.00000
Epoch 9/400 | G_loss: 1.55059 | D_loss: 0.52950 | D_real_accuracy: 98.38867 | D_fake_accuracy: 96.87500
Epoch 10/400 | G_loss: 1.37726 | D_loss: 0.51249 | D_real_accuracy: 99.36523 | D_fake_accuracy: 100.00000
Epoch 11/400 | G_loss: 1.47394 | D_loss: 0.53282 | D_real_accuracy: 96.48438 | D_fake_accuracy: 96.87500
Epoch 12/400 | G_loss: 1.42485 | D_loss: 0.51806 | D_real_accuracy: 98.33984 | D_fake_accuracy: 100.00000
Epoch 13/400 | G_loss: 1.42480 | D_loss: 0.52056 | D_real_accuracy: 97.90039 | D_fake_accuracy: 100.00000
Epoch 14/400 | G_loss: 1.34977 | D_loss: 0.51018 | D_real_accuracy: 99.36523 | D_fake_accuracy: 100.00000
Epoch 15/400 | G_loss: 1.36251 | D_loss: 0.51602 | D_real_accuracy: 99.07227 | D_fake_accuracy: 100.00000
Epoch 16/400 | G_loss: 1.35245 | D_loss: 0.52018 | D_real_accuracy: 98.24219 | D_fake_accuracy: 100.00000
Epoch 17/400 | G_loss: 1.33010 | D_loss: 0.51578 | D_real_accuracy: 98.33984 | D_fake_accuracy: 100.00000
Epoch 18/400 | G_loss: 1.37348 | D_loss: 0.52714 | D_real_accuracy: 97.11914 | D_fake_accuracy: 100.00000
Epoch 19/400 | G_loss: 1.41014 | D_loss: 0.53535 | D_real_accuracy: 95.26367 | D_fake_accuracy: 96.87500
Epoch 20/400 | G_loss: 1.48619 | D_loss: 0.57257 | D_real_accuracy: 92.96875 | D_fake_accuracy: 93.75000
Epoch 21/400 | G_loss: 1.45203 | D_loss: 0.53991 | D_real_accuracy: 94.14062 | D_fake_accuracy: 97.31445
Epoch 22/400 | G_loss: 1.42574 | D_loss: 0.53228 | D_real_accuracy: 95.45898 | D_fake_accuracy: 100.00000
Epoch 23/400 | G_loss: 1.36352 | D_loss: 0.54119 | D_real_accuracy: 93.11523 | D_fake_accuracy: 96.87500
Epoch 24/400 | G_loss: 1.34666 | D_loss: 0.53544 | D_real_accuracy: 94.92188 | D_fake_accuracy: 97.02148
Epoch 25/400 | G_loss: 1.33153 | D_loss: 0.52119 | D_real_accuracy: 95.94727 | D_fake_accuracy: 100.00000
Epoch 26/400 | G_loss: 1.36618 | D_loss: 0.52935 | D_real_accuracy: 95.70312 | D_fake_accuracy: 100.00000
Epoch 27/400 | G_loss: 1.37579 | D_loss: 0.54315 | D_real_accuracy: 92.96875 | D_fake_accuracy: 98.33984
Epoch 28/400 | G_loss: 1.39471 | D_loss: 0.54592 | D_real_accuracy: 92.67578 | D_fake_accuracy: 96.87500
Epoch 29/400 | G_loss: 1.58165 | D_loss: 0.58804 | D_real_accuracy: 91.94336 | D_fake_accuracy: 92.96875
Epoch 30/400 | G_loss: 1.37695 | D_loss: 0.52664 | D_real_accuracy: 95.21484 | D_fake_accuracy: 100.00000
Epoch 31/400 | G_loss: 1.35991 | D_loss: 0.54168 | D_real_accuracy: 92.87109 | D_fake_accuracy: 100.00000
Epoch 32/400 | G_loss: 1.32521 | D_loss: 0.52488 | D_real_accuracy: 95.11719 | D_fake_accuracy: 100.00000
Epoch 33/400 | G_loss: 1.35541 | D_loss: 0.52803 | D_real_accuracy: 94.92188 | D_fake_accuracy: 100.00000
Epoch 34/400 | G_loss: 2.64078 | D_loss: 0.70381 | D_real_accuracy: 86.13281 | D_fake_accuracy: 78.02734
Epoch 35/400 | G_loss: 1.66157 | D_loss: 0.51736 | D_real_accuracy: 98.43750 | D_fake_accuracy: 100.00000
Epoch 36/400 | G_loss: 2.11553 | D_loss: 0.59276 | D_real_accuracy: 91.65039 | D_fake_accuracy: 92.91992
Epoch 37/400 | G_loss: 1.38889 | D_loss: 0.51926 | D_real_accuracy: 96.92383 | D_fake_accuracy: 100.00000
Epoch 38/400 | G_loss: 1.34184 | D_loss: 0.51971 | D_real_accuracy: 96.14258 | D_fake_accuracy: 100.00000
Epoch 39/400 | G_loss: 1.31884 | D_loss: 0.52659 | D_real_accuracy: 95.21484 | D_fake_accuracy: 100.00000
Epoch 40/400 | G_loss: 1.33335 | D_loss: 0.52400 | D_real_accuracy: 96.28906 | D_fake_accuracy: 100.00000
Epoch 41/400 | G_loss: 1.30062 | D_loss: 0.52611 | D_real_accuracy: 94.82422 | D_fake_accuracy: 100.00000
Epoch 42/400 | G_loss: 1.31387 | D_loss: 0.52776 | D_real_accuracy: 94.48242 | D_fake_accuracy: 100.00000
Epoch 43/400 | G_loss: 1.31063 | D_loss: 0.52219 | D_real_accuracy: 95.26367 | D_fake_accuracy: 100.00000
Epoch 44/400 | G_loss: 1.36830 | D_loss: 0.54572 | D_real_accuracy: 92.77344 | D_fake_accuracy: 96.87500
