train_loss,step,epoch,val_loss
2.093205451965332,49,0,
1.9535032510757446,99,0,
1.9503101110458374,149,0,
1.6852760314941406,199,0,
1.599256992340088,249,0,
1.6402313709259033,299,0,
1.4553314447402954,349,0,
1.5148224830627441,399,0,
1.3777235746383667,449,0,
,468,0,1.1901843547821045
1.3380895853042603,499,1,
1.2894583940505981,549,1,
1.3743033409118652,599,1,
1.3497281074523926,649,1,
1.1908024549484253,699,1,
1.149749755859375,749,1,
1.1935224533081055,799,1,
1.2066904306411743,849,1,
1.0632950067520142,899,1,
,937,1,0.8516779541969299
1.1492124795913696,949,2,
1.1952883005142212,999,2,
1.1450443267822266,1049,2,
1.1991084814071655,1099,2,
0.9932417273521423,1149,2,
1.0486551523208618,1199,2,
1.1310392618179321,1249,2,
1.0796128511428833,1299,2,
1.0256456136703491,1349,2,
0.769005298614502,1399,2,
,1406,2,0.6525142192840576
0.9677046537399292,1449,3,
0.873270571231842,1499,3,
0.8443528413772583,1549,3,
0.9229706525802612,1599,3,
1.0018998384475708,1649,3,
1.175839900970459,1699,3,
0.9498774409294128,1749,3,
0.9057032465934753,1799,3,
1.0064387321472168,1849,3,
,1875,3,0.5670917630195618
0.8996710777282715,1899,4,
0.9957997798919678,1949,4,
0.9516773819923401,1999,4,
0.9320436120033264,2049,4,
0.9752995371818542,2099,4,
0.815562903881073,2149,4,
0.9567939639091492,2199,4,
0.663776695728302,2249,4,
0.7050240635871887,2299,4,
,2344,4,0.5287767648696899
0.7967368364334106,2349,5,
1.0010651350021362,2399,5,
0.819072961807251,2449,5,
0.9018089771270752,2499,5,
0.7941396832466125,2549,5,
0.7165436148643494,2599,5,
0.898862361907959,2649,5,
0.7667033672332764,2699,5,
0.6928969621658325,2749,5,
0.5720834136009216,2799,5,
,2813,5,0.5003544092178345
0.7354103326797485,2849,6,
0.7958836555480957,2899,6,
0.8458375930786133,2949,6,
0.845284640789032,2999,6,
0.9964239001274109,3049,6,
0.8859714269638062,3099,6,
0.9549190998077393,3149,6,
0.6788884997367859,3199,6,
0.758254885673523,3249,6,
,3282,6,0.4798826277256012
0.7452347278594971,3299,7,
0.9255425930023193,3349,7,
0.7971462607383728,3399,7,
0.792110800743103,3449,7,
