train_loss,step,epoch,val_loss
2.1307730674743652,49,0,
1.934010624885559,99,0,
1.7870298624038696,149,0,
1.6763123273849487,199,0,
1.5902236700057983,249,0,
1.5979570150375366,299,0,
1.4643632173538208,349,0,
1.5025907754898071,399,0,
1.3656944036483765,449,0,
,468,0,1.1938774585723877
1.3498992919921875,499,1,
1.2240570783615112,549,1,
1.3042933940887451,599,1,
1.285030722618103,649,1,
1.1908777952194214,699,1,
1.2288867235183716,749,1,
1.4945122003555298,799,1,
1.1713775396347046,849,1,
1.1597628593444824,899,1,
,937,1,0.9516416788101196
1.1308517456054688,949,2,
1.2339578866958618,999,2,
1.1660245656967163,1049,2,
1.1957154273986816,1099,2,
1.0647891759872437,1149,2,
1.1221108436584473,1199,2,
1.265884280204773,1249,2,
1.1799192428588867,1299,2,
1.1248326301574707,1349,2,
0.818594217300415,1399,2,
,1406,2,0.8420208096504211
1.1082468032836914,1449,3,
1.1859546899795532,1499,3,
0.9144867658615112,1549,3,
1.2373825311660767,1599,3,
1.2577251195907593,1649,3,
1.5826001167297363,1699,3,
1.1211847066879272,1749,3,
1.087857961654663,1799,3,
1.1677753925323486,1849,3,
,1875,3,0.7807851433753967
1.1681832075119019,1899,4,
1.0559113025665283,1949,4,
1.244827389717102,1999,4,
1.1628329753875732,2049,4,
1.1567480564117432,2099,4,
0.9591375589370728,2149,4,
1.07137930393219,2199,4,
0.874398946762085,2249,4,
1.022482991218567,2299,4,
,2344,4,0.7220763564109802
1.0039887428283691,2349,5,
1.1685967445373535,2399,5,
1.1219888925552368,2449,5,
0.8167717456817627,2499,5,
1.001886010169983,2549,5,
0.9130743741989136,2599,5,
0.9062206149101257,2649,5,
0.8824449181556702,2699,5,
0.8303528428077698,2749,5,
0.8376017212867737,2799,5,
,2813,5,0.6693011522293091
0.8742226362228394,2849,6,
0.9661003351211548,2899,6,
0.9479942917823792,2949,6,
1.0128840208053589,2999,6,
0.9535761475563049,3049,6,
0.8749767541885376,3099,6,
1.0657204389572144,3149,6,
0.6955638527870178,3199,6,
0.8409638404846191,3249,6,
,3282,6,0.6037808656692505
0.8998411893844604,3299,7,
1.0857900381088257,3349,7,
0.8733659386634827,3399,7,
0.8792763352394104,3449,7,
0.8090921640396118,3499,7,
0.8367177844047546,3549,7,
0.9025560021400452,3599,7,
0.7968119978904724,3649,7,
0.7055590748786926,3699,7,
1.0082240104675293,3749,7,
,3751,7,0.5683445334434509
0.8445281982421875,3799,8,
0.865884006023407,3849,8,
0.7574784159660339,3899,8,
0.8768954277038574,3949,8,
1.074293613433838,3999,8,
0.7458189725875854,4049,8,
0.8261790871620178,4099,8,
0.7448283433914185,4149,8,
0.9526271820068359,4199,8,
,4220,8,0.5412797331809998
0.8028145432472229,4249,9,
0.8612596392631531,4299,9,
