epoch,step,test_loss,train_loss,val_loss
0,49,,1.4238085746765137,
0,99,,0.8543888330459595,
0,149,,0.8321995735168457,
0,199,,0.6723807454109192,
0,249,,0.6302923560142517,
0,299,,0.48517897725105286,
0,349,,0.35503843426704407,
0,399,,0.5678959488868713,
0,421,,,0.23445431888103485
1,449,,0.5203379392623901,
1,499,,0.3533490002155304,
1,549,,0.41182637214660645,
1,599,,0.46193480491638184,
1,649,,0.26973626017570496,
1,699,,0.28253594040870667,
1,749,,0.27685678005218506,
1,799,,0.2681081295013428,
1,843,,,0.16945742070674896
2,849,,0.4759843051433563,
2,899,,0.197464257478714,
2,949,,0.3248618245124817,
2,999,,0.48721569776535034,
2,1049,,0.2054194062948227,
2,1099,,0.2035883516073227,
2,1149,,0.3397443890571594,
2,1199,,0.33278703689575195,
2,1249,,0.16987168788909912,
2,1265,,,0.13835887610912323
3,1299,,0.21329490840435028,
3,1349,,0.3239470422267914,
3,1399,,0.17040464282035828,
3,1449,,0.20300132036209106,
3,1499,,0.26555025577545166,
3,1549,,0.16150321066379547,
3,1599,,0.1901625543832779,
3,1649,,0.18366113305091858,
3,1687,,,0.12680673599243164
4,1699,,0.22253522276878357,
4,1749,,0.2525191903114319,
4,1799,,0.1811668872833252,
4,1849,,0.3148505389690399,
4,1899,,0.24951672554016113,
4,1949,,0.2308368682861328,
4,1999,,0.41465550661087036,
4,2049,,0.1942169964313507,
4,2099,,0.17567025125026703,
4,2109,,,0.11392718553543091
5,2149,,0.06617109477519989,
5,2199,,0.29688093066215515,
5,2249,,0.28372228145599365,
5,2299,,0.29517480731010437,
5,2349,,0.06799232959747314,
5,2399,,0.3126174807548523,
5,2449,,0.16285191476345062,
5,2499,,0.20972077548503876,
5,2531,,,0.10306796431541443
6,2549,,0.1895175576210022,
6,2599,,0.2499428540468216,
6,2649,,0.34874022006988525,
6,2699,,0.1556096225976944,
6,2749,,0.21660473942756653,
6,2799,,0.3599112927913666,
6,2849,,0.17150399088859558,
6,2899,,0.1308007389307022,
6,2949,,0.16919848322868347,
6,2953,,,0.10265637934207916
7,2999,,0.18510791659355164,
7,3049,,0.23122479021549225,
7,3099,,0.1561533361673355,
7,3149,,0.10610486567020416,
7,3199,,0.09503816068172455,
7,3249,,0.19274312257766724,
7,3299,,0.2686712145805359,
7,3349,,0.06644394993782043,
7,3375,,,0.096664659678936
8,3399,,0.1268237829208374,
8,3449,,0.16672557592391968,
8,3499,,0.19585275650024414,
8,3549,,0.27389833331108093,
8,3599,,0.19541971385478973,
8,3649,,0.05547702684998512,
8,3699,,0.23736374080181122,
8,3749,,0.2555594742298126,
8,3797,,,0.08862730115652084
9,3799,,0.21647265553474426,
9,3849,,0.2469649612903595,
9,3899,,0.26674798130989075,
9,3949,,0.20010250806808472,
9,3999,,0.20596398413181305,
9,4049,,0.1917073130607605,
9,4099,,0.13067038357257843,
9,4149,,0.055393870919942856,
9,4199,,0.2542032301425934,
9,4219,,,0.09304299205541611
10,4249,,0.1627778261899948,
10,4299,,0.12311501055955887,
10,4349,,0.09436071664094925,
10,4399,,0.18483859300613403,
10,4449,,0.12800000607967377,
10,4499,,0.276352196931839,
10,4549,,0.17172221839427948,
10,4599,,0.19207820296287537,
10,4641,,,0.08937250822782516
11,4649,,0.2002725899219513,
11,4699,,0.15761451423168182,
11,4749,,0.16583451628684998,
11,4799,,0.1806306689977646,
11,4849,,0.17052392661571503,
11,4899,,0.11942049115896225,
11,4949,,0.1422886699438095,
11,4999,,0.16417217254638672,
11,5049,,0.18137386441230774,
11,5063,,,0.08658246695995331
12,5099,,0.1943187564611435,
12,5149,,0.07359041273593903,
12,5199,,0.09528549760580063,
12,5249,,0.20353928208351135,
12,5299,,0.15583889186382294,
12,5349,,0.20132063329219818,
12,5399,,0.10040529817342758,
12,5449,,0.12220131605863571,
12,5485,,,0.0857868641614914
13,5499,,0.08760691434144974,
