epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.328125,1.9532966613769531,,
0,99,0.4296875,1.5407012701034546,,
0,149,0.640625,1.179925560951233,,
0,199,0.671875,0.9501811861991882,,
0,249,0.6953125,0.9427775144577026,,
0,299,0.78125,0.7625479102134705,,
0,349,0.7421875,0.8717724084854126,,
0,399,0.734375,0.7999131083488464,,
0,421,,,0.8880000114440918,0.4337720572948456
1,449,0.7578125,0.8580967783927917,,
1,499,0.71875,0.7384029030799866,,
1,549,0.78125,0.831592857837677,,
1,599,0.7734375,0.6234481930732727,,
1,649,0.828125,0.5828507542610168,,
1,699,0.8359375,0.6347749829292297,,
1,749,0.8046875,0.6454059481620789,,
1,799,0.859375,0.5380570888519287,,
1,843,,,0.9151666760444641,0.31414467096328735
2,849,0.7890625,0.7020542025566101,,
2,899,0.8046875,0.6840816736221313,,
2,949,0.8046875,0.5943475365638733,,
2,999,0.796875,0.5410418510437012,,
2,1049,0.84375,0.5346987843513489,,
2,1099,0.78125,0.7077516913414001,,
2,1149,0.84375,0.4902662932872772,,
2,1199,0.859375,0.5883738994598389,,
2,1249,0.875,0.44034770131111145,,
2,1265,,,0.9286666512489319,0.2572670876979828
3,1299,0.8671875,0.5257968306541443,,
3,1349,0.828125,0.6960393786430359,,
