LD=64
Using: cuda
Epoch 1/200 | G_loss: 1.91169 | D_loss: 0.60237 | D_real_accuracy: 92.96875 | D_fake_accuracy: 93.75000
Epoch 2/200 | G_loss: 1.60295 | D_loss: 0.57874 | D_real_accuracy: 93.16406 | D_fake_accuracy: 93.75000
Epoch 3/200 | G_loss: 1.36473 | D_loss: 0.50636 | D_real_accuracy: 99.80469 | D_fake_accuracy: 100.00000
Epoch 4/200 | G_loss: 2.39672 | D_loss: 0.65454 | D_real_accuracy: 96.28906 | D_fake_accuracy: 77.53906
Epoch 5/200 | G_loss: 1.52642 | D_loss: 0.52300 | D_real_accuracy: 99.21875 | D_fake_accuracy: 100.00000
Epoch 6/200 | G_loss: 1.66377 | D_loss: 0.56497 | D_real_accuracy: 98.33984 | D_fake_accuracy: 99.90234
Epoch 7/200 | G_loss: 1.56127 | D_loss: 0.52158 | D_real_accuracy: 99.51172 | D_fake_accuracy: 100.00000
Epoch 8/200 | G_loss: 1.60466 | D_loss: 0.54895 | D_real_accuracy: 98.63281 | D_fake_accuracy: 100.00000
Epoch 9/200 | G_loss: 2.23775 | D_loss: 0.66669 | D_real_accuracy: 88.67188 | D_fake_accuracy: 82.03125
Epoch 10/200 | G_loss: 1.66925 | D_loss: 0.56011 | D_real_accuracy: 95.41016 | D_fake_accuracy: 99.02344
Epoch 11/200 | G_loss: 1.54790 | D_loss: 0.54201 | D_real_accuracy: 98.24219 | D_fake_accuracy: 99.90234
Epoch 12/200 | G_loss: 1.52923 | D_loss: 0.53716 | D_real_accuracy: 98.73047 | D_fake_accuracy: 99.90234
Epoch 13/200 | G_loss: 1.55247 | D_loss: 0.54400 | D_real_accuracy: 93.26172 | D_fake_accuracy: 99.21875
Epoch 14/200 | G_loss: 1.52050 | D_loss: 0.53464 | D_real_accuracy: 97.94922 | D_fake_accuracy: 100.00000
Epoch 15/200 | G_loss: 1.42112 | D_loss: 0.51377 | D_real_accuracy: 99.31641 | D_fake_accuracy: 100.00000
Epoch 16/200 | G_loss: 1.60726 | D_loss: 0.56937 | D_real_accuracy: 93.45703 | D_fake_accuracy: 98.24219
Epoch 17/200 | G_loss: 1.64379 | D_loss: 0.56981 | D_real_accuracy: 92.38281 | D_fake_accuracy: 93.16406
Epoch 18/200 | G_loss: 1.46287 | D_loss: 0.54117 | D_real_accuracy: 97.16797 | D_fake_accuracy: 100.00000
Epoch 19/200 | G_loss: 1.42045 | D_loss: 0.52608 | D_real_accuracy: 99.12109 | D_fake_accuracy: 100.00000
Epoch 20/200 | G_loss: 2.51522 | D_loss: 0.72519 | D_real_accuracy: 86.81641 | D_fake_accuracy: 81.25000
Epoch 21/200 | G_loss: 1.50631 | D_loss: 0.53345 | D_real_accuracy: 97.55859 | D_fake_accuracy: 100.00000
Epoch 22/200 | G_loss: 1.52843 | D_loss: 0.54346 | D_real_accuracy: 96.87500 | D_fake_accuracy: 97.75391
Epoch 23/200 | G_loss: 1.43917 | D_loss: 0.53853 | D_real_accuracy: 96.38672 | D_fake_accuracy: 99.80469
Epoch 24/200 | G_loss: 1.57675 | D_loss: 0.55611 | D_real_accuracy: 95.41016 | D_fake_accuracy: 98.82812
Epoch 25/200 | G_loss: 1.48159 | D_loss: 0.53918 | D_real_accuracy: 95.50781 | D_fake_accuracy: 99.21875
Epoch 26/200 | G_loss: 1.62352 | D_loss: 0.58663 | D_real_accuracy: 89.35547 | D_fake_accuracy: 91.21094
Epoch 27/200 | G_loss: 1.51124 | D_loss: 0.60512 | D_real_accuracy: 85.35156 | D_fake_accuracy: 86.42578
Epoch 28/200 | G_loss: 1.37761 | D_loss: 0.53705 | D_real_accuracy: 96.87500 | D_fake_accuracy: 97.75391
Epoch 29/200 | G_loss: 1.47595 | D_loss: 0.57994 | D_real_accuracy: 88.67188 | D_fake_accuracy: 91.11328
Epoch 30/200 | G_loss: 1.42473 | D_loss: 0.54331 | D_real_accuracy: 97.26562 | D_fake_accuracy: 97.07031
Epoch 31/200 | G_loss: 1.47322 | D_loss: 0.54755 | D_real_accuracy: 95.89844 | D_fake_accuracy: 97.16797
Epoch 32/200 | G_loss: 1.49315 | D_loss: 0.54550 | D_real_accuracy: 97.16797 | D_fake_accuracy: 97.16797
Epoch 33/200 | G_loss: 1.41960 | D_loss: 0.55560 | D_real_accuracy: 94.23828 | D_fake_accuracy: 97.36328
