LD=4
Using: cuda
Epoch 1/400 | G_loss: 0.65241 | D_loss: 0.79840 | D_real_accuracy: 0.29297 | D_fake_accuracy: 21.43555
Epoch 2/400 | G_loss: 0.72738 | D_loss: 0.71205 | D_real_accuracy: 3.07617 | D_fake_accuracy: 70.60547
Epoch 3/400 | G_loss: 0.72151 | D_loss: 0.70394 | D_real_accuracy: 16.55273 | D_fake_accuracy: 73.48633
Epoch 4/400 | G_loss: 0.70547 | D_loss: 0.69255 | D_real_accuracy: 61.18164 | D_fake_accuracy: 45.50781
Epoch 5/400 | G_loss: 0.70420 | D_loss: 0.69309 | D_real_accuracy: 54.98047 | D_fake_accuracy: 59.86328
Epoch 6/400 | G_loss: 0.75347 | D_loss: 0.68543 | D_real_accuracy: 28.66211 | D_fake_accuracy: 96.53320
Epoch 7/400 | G_loss: 0.72638 | D_loss: 0.67345 | D_real_accuracy: 67.08984 | D_fake_accuracy: 79.34570
Epoch 8/400 | G_loss: 0.72124 | D_loss: 0.68197 | D_real_accuracy: 63.37891 | D_fake_accuracy: 59.76562
Epoch 9/400 | G_loss: 0.73929 | D_loss: 0.67339 | D_real_accuracy: 60.49805 | D_fake_accuracy: 89.99023
Epoch 10/400 | G_loss: 0.76915 | D_loss: 0.66798 | D_real_accuracy: 64.06250 | D_fake_accuracy: 78.90625
Epoch 11/400 | G_loss: 0.71683 | D_loss: 0.67641 | D_real_accuracy: 68.55469 | D_fake_accuracy: 72.80273
Epoch 12/400 | G_loss: 0.66018 | D_loss: 0.72844 | D_real_accuracy: 45.55664 | D_fake_accuracy: 34.96094
Epoch 13/400 | G_loss: 0.69622 | D_loss: 0.71449 | D_real_accuracy: 3.75977 | D_fake_accuracy: 52.29492
Epoch 14/400 | G_loss: 0.70510 | D_loss: 0.70621 | D_real_accuracy: 3.61328 | D_fake_accuracy: 64.94141
Epoch 15/400 | G_loss: 0.71008 | D_loss: 0.70145 | D_real_accuracy: 0.24414 | D_fake_accuracy: 77.05078
Epoch 16/400 | G_loss: 0.71100 | D_loss: 0.69763 | D_real_accuracy: 0.24414 | D_fake_accuracy: 93.21289
Epoch 17/400 | G_loss: 0.70032 | D_loss: 0.69769 | D_real_accuracy: 8.64258 | D_fake_accuracy: 63.91602
Epoch 18/400 | G_loss: 0.69217 | D_loss: 0.69656 | D_real_accuracy: 38.76953 | D_fake_accuracy: 39.64844
Epoch 19/400 | G_loss: 0.69895 | D_loss: 0.69752 | D_real_accuracy: 8.93555 | D_fake_accuracy: 59.61914
Epoch 20/400 | G_loss: 0.69571 | D_loss: 0.69529 | D_real_accuracy: 36.13281 | D_fake_accuracy: 45.36133
Epoch 21/400 | G_loss: 0.69134 | D_loss: 0.69760 | D_real_accuracy: 36.66992 | D_fake_accuracy: 33.15430
Epoch 22/400 | G_loss: 0.69597 | D_loss: 0.69696 | D_real_accuracy: 24.70703 | D_fake_accuracy: 37.01172
Epoch 23/400 | G_loss: 0.69497 | D_loss: 0.69591 | D_real_accuracy: 50.63477 | D_fake_accuracy: 47.07031
Epoch 24/400 | G_loss: 0.69668 | D_loss: 0.69383 | D_real_accuracy: 54.54102 | D_fake_accuracy: 50.39062
Epoch 25/400 | G_loss: 0.69766 | D_loss: 0.69666 | D_real_accuracy: 22.65625 | D_fake_accuracy: 63.57422
Epoch 26/400 | G_loss: 0.68884 | D_loss: 0.69551 | D_real_accuracy: 66.99219 | D_fake_accuracy: 33.78906
Epoch 27/400 | G_loss: 0.69942 | D_loss: 0.69330 | D_real_accuracy: 40.57617 | D_fake_accuracy: 57.42188
Epoch 28/400 | G_loss: 0.69843 | D_loss: 0.69544 | D_real_accuracy: 35.93750 | D_fake_accuracy: 54.00391
Epoch 29/400 | G_loss: 0.68828 | D_loss: 0.69619 | D_real_accuracy: 57.47070 | D_fake_accuracy: 22.02148
Epoch 30/400 | G_loss: 0.70272 | D_loss: 0.69395 | D_real_accuracy: 38.18359 | D_fake_accuracy: 61.08398
Epoch 31/400 | G_loss: 0.69330 | D_loss: 0.69498 | D_real_accuracy: 57.91016 | D_fake_accuracy: 44.09180
Epoch 32/400 | G_loss: 0.70155 | D_loss: 0.69383 | D_real_accuracy: 20.65430 | D_fake_accuracy: 85.69336
Epoch 33/400 | G_loss: 0.69387 | D_loss: 0.69529 | D_real_accuracy: 54.68750 | D_fake_accuracy: 28.41797
Epoch 34/400 | G_loss: 0.69321 | D_loss: 0.69538 | D_real_accuracy: 55.37109 | D_fake_accuracy: 38.03711
Epoch 35/400 | G_loss: 0.69585 | D_loss: 0.69496 | D_real_accuracy: 37.59766 | D_fake_accuracy: 57.51953
