LD=8
Using: cuda
Epoch 1/400 | G_loss: 0.60798 | D_loss: 0.79695 | D_real_accuracy: 44.67773 | D_fake_accuracy: 2.49023
Epoch 2/400 | G_loss: 0.70444 | D_loss: 0.70116 | D_real_accuracy: 47.21680 | D_fake_accuracy: 43.99414
Epoch 3/400 | G_loss: 0.71061 | D_loss: 0.69660 | D_real_accuracy: 58.25195 | D_fake_accuracy: 50.00000
Epoch 4/400 | G_loss: 0.72672 | D_loss: 0.67866 | D_real_accuracy: 71.58203 | D_fake_accuracy: 64.99023
Epoch 5/400 | G_loss: 0.71095 | D_loss: 0.69044 | D_real_accuracy: 63.86719 | D_fake_accuracy: 50.29297
Epoch 6/400 | G_loss: 0.71915 | D_loss: 0.68335 | D_real_accuracy: 65.72266 | D_fake_accuracy: 72.07031
Epoch 7/400 | G_loss: 0.73968 | D_loss: 0.67075 | D_real_accuracy: 75.58594 | D_fake_accuracy: 94.77539
Epoch 8/400 | G_loss: 0.71604 | D_loss: 0.67183 | D_real_accuracy: 81.00586 | D_fake_accuracy: 62.30469
Epoch 9/400 | G_loss: 0.73054 | D_loss: 0.67647 | D_real_accuracy: 72.85156 | D_fake_accuracy: 76.56250
Epoch 10/400 | G_loss: 0.72307 | D_loss: 0.68115 | D_real_accuracy: 67.87109 | D_fake_accuracy: 66.84570
Epoch 11/400 | G_loss: 0.66396 | D_loss: 0.72781 | D_real_accuracy: 55.02930 | D_fake_accuracy: 45.70312
Epoch 12/400 | G_loss: 0.68562 | D_loss: 0.71164 | D_real_accuracy: 53.66211 | D_fake_accuracy: 49.95117
Epoch 13/400 | G_loss: 0.69657 | D_loss: 0.70411 | D_real_accuracy: 41.65039 | D_fake_accuracy: 46.77734
Epoch 14/400 | G_loss: 0.69472 | D_loss: 0.70286 | D_real_accuracy: 40.13672 | D_fake_accuracy: 37.01172
Epoch 15/400 | G_loss: 0.69404 | D_loss: 0.70170 | D_real_accuracy: 64.16016 | D_fake_accuracy: 33.39844
Epoch 16/400 | G_loss: 0.70898 | D_loss: 0.69539 | D_real_accuracy: 47.26562 | D_fake_accuracy: 46.19141
Epoch 17/400 | G_loss: 0.70320 | D_loss: 0.69613 | D_real_accuracy: 63.72070 | D_fake_accuracy: 49.80469
Epoch 18/400 | G_loss: 0.72690 | D_loss: 0.68505 | D_real_accuracy: 75.73242 | D_fake_accuracy: 69.38477
Epoch 19/400 | G_loss: 0.71691 | D_loss: 0.68037 | D_real_accuracy: 70.70312 | D_fake_accuracy: 73.58398
Epoch 20/400 | G_loss: 0.68064 | D_loss: 0.69418 | D_real_accuracy: 81.20117 | D_fake_accuracy: 34.42383
Epoch 21/400 | G_loss: 0.68632 | D_loss: 0.70527 | D_real_accuracy: 49.80469 | D_fake_accuracy: 50.00000
Epoch 22/400 | G_loss: 0.70810 | D_loss: 0.69608 | D_real_accuracy: 35.64453 | D_fake_accuracy: 66.65039
Epoch 23/400 | G_loss: 0.71142 | D_loss: 0.69434 | D_real_accuracy: 52.05078 | D_fake_accuracy: 43.75000
Epoch 24/400 | G_loss: 0.70593 | D_loss: 0.69434 | D_real_accuracy: 65.03906 | D_fake_accuracy: 39.50195
Epoch 25/400 | G_loss: 0.70363 | D_loss: 0.69625 | D_real_accuracy: 63.96484 | D_fake_accuracy: 52.44141
Epoch 26/400 | G_loss: 0.71666 | D_loss: 0.68774 | D_real_accuracy: 64.99023 | D_fake_accuracy: 81.39648
Epoch 27/400 | G_loss: 0.70529 | D_loss: 0.69498 | D_real_accuracy: 61.13281 | D_fake_accuracy: 49.07227
Epoch 28/400 | G_loss: 0.71109 | D_loss: 0.68964 | D_real_accuracy: 63.76953 | D_fake_accuracy: 56.98242
Epoch 29/400 | G_loss: 0.73730 | D_loss: 0.68380 | D_real_accuracy: 33.39844 | D_fake_accuracy: 99.90234
Epoch 30/400 | G_loss: 0.69484 | D_loss: 0.69409 | D_real_accuracy: 62.69531 | D_fake_accuracy: 52.92969
Epoch 31/400 | G_loss: 0.70548 | D_loss: 0.69148 | D_real_accuracy: 67.67578 | D_fake_accuracy: 51.61133
Epoch 32/400 | G_loss: 0.73172 | D_loss: 0.69062 | D_real_accuracy: 51.22070 | D_fake_accuracy: 81.05469
