LD=32
Using: cuda
Epoch 1/400 | G_loss: 0.57636 | D_loss: 0.76259 | D_real_accuracy: 99.80469 | D_fake_accuracy: 0.09766
Epoch 2/400 | G_loss: 0.64599 | D_loss: 0.69215 | D_real_accuracy: 99.46289 | D_fake_accuracy: 0.00000
Epoch 3/400 | G_loss: 0.65348 | D_loss: 0.69501 | D_real_accuracy: 96.58203 | D_fake_accuracy: 0.00000
Epoch 4/400 | G_loss: 0.62326 | D_loss: 0.72341 | D_real_accuracy: 95.80078 | D_fake_accuracy: 0.00000
Epoch 5/400 | G_loss: 0.64989 | D_loss: 0.70519 | D_real_accuracy: 88.91602 | D_fake_accuracy: 0.00000
Epoch 6/400 | G_loss: 0.67509 | D_loss: 0.69429 | D_real_accuracy: 88.37891 | D_fake_accuracy: 0.00000
Epoch 7/400 | G_loss: 0.67969 | D_loss: 0.69011 | D_real_accuracy: 82.47070 | D_fake_accuracy: 0.04883
Epoch 8/400 | G_loss: 0.69327 | D_loss: 0.68946 | D_real_accuracy: 87.40234 | D_fake_accuracy: 9.71680
Epoch 9/400 | G_loss: 0.72627 | D_loss: 0.67935 | D_real_accuracy: 74.41406 | D_fake_accuracy: 48.87695
Epoch 10/400 | G_loss: 0.69077 | D_loss: 0.68723 | D_real_accuracy: 85.20508 | D_fake_accuracy: 31.93359
Epoch 11/400 | G_loss: 0.69133 | D_loss: 0.68929 | D_real_accuracy: 79.98047 | D_fake_accuracy: 35.05859
Epoch 12/400 | G_loss: 0.73041 | D_loss: 0.67245 | D_real_accuracy: 74.75586 | D_fake_accuracy: 50.00000
Epoch 13/400 | G_loss: 0.69324 | D_loss: 0.68482 | D_real_accuracy: 80.32227 | D_fake_accuracy: 40.91797
Epoch 14/400 | G_loss: 0.67550 | D_loss: 0.70502 | D_real_accuracy: 73.77930 | D_fake_accuracy: 11.96289
Epoch 15/400 | G_loss: 0.69901 | D_loss: 0.70180 | D_real_accuracy: 60.69336 | D_fake_accuracy: 50.00000
Epoch 16/400 | G_loss: 0.70735 | D_loss: 0.69739 | D_real_accuracy: 55.12695 | D_fake_accuracy: 53.27148
Epoch 17/400 | G_loss: 0.72414 | D_loss: 0.69348 | D_real_accuracy: 28.02734 | D_fake_accuracy: 93.31055
Epoch 18/400 | G_loss: 0.72362 | D_loss: 0.69181 | D_real_accuracy: 33.93555 | D_fake_accuracy: 98.24219
Epoch 19/400 | G_loss: 0.73297 | D_loss: 0.68739 | D_real_accuracy: 34.52148 | D_fake_accuracy: 95.75195
Epoch 20/400 | G_loss: 0.72903 | D_loss: 0.68958 | D_real_accuracy: 31.93359 | D_fake_accuracy: 98.09570
Epoch 21/400 | G_loss: 0.72389 | D_loss: 0.68517 | D_real_accuracy: 60.54688 | D_fake_accuracy: 80.85938
Epoch 22/400 | G_loss: 0.71163 | D_loss: 0.68574 | D_real_accuracy: 65.38086 | D_fake_accuracy: 42.67578
Epoch 23/400 | G_loss: 0.71174 | D_loss: 0.69182 | D_real_accuracy: 71.92383 | D_fake_accuracy: 56.88477
Epoch 24/400 | G_loss: 0.71007 | D_loss: 0.68382 | D_real_accuracy: 66.94336 | D_fake_accuracy: 59.42383
Epoch 25/400 | G_loss: 0.73634 | D_loss: 0.68610 | D_real_accuracy: 66.30859 | D_fake_accuracy: 73.53516
Epoch 26/400 | G_loss: 0.75050 | D_loss: 0.67767 | D_real_accuracy: 62.59766 | D_fake_accuracy: 63.13477
Epoch 27/400 | G_loss: 0.74814 | D_loss: 0.69124 | D_real_accuracy: 27.19727 | D_fake_accuracy: 91.25977
Epoch 28/400 | G_loss: 0.72526 | D_loss: 0.68312 | D_real_accuracy: 74.80469 | D_fake_accuracy: 63.18359
Epoch 29/400 | G_loss: 0.71978 | D_loss: 0.68476 | D_real_accuracy: 74.60938 | D_fake_accuracy: 75.34180
Epoch 30/400 | G_loss: 0.69568 | D_loss: 0.69952 | D_real_accuracy: 60.83984 | D_fake_accuracy: 33.98438
Epoch 31/400 | G_loss: 0.68626 | D_loss: 0.70266 | D_real_accuracy: 39.30664 | D_fake_accuracy: 29.58984
Epoch 32/400 | G_loss: 0.68961 | D_loss: 0.69803 | D_real_accuracy: 36.96289 | D_fake_accuracy: 40.03906
Epoch 33/400 | G_loss: 0.69178 | D_loss: 0.69540 | D_real_accuracy: 39.30664 | D_fake_accuracy: 57.71484
Epoch 34/400 | G_loss: 0.69121 | D_loss: 0.69389 | D_real_accuracy: 44.09180 | D_fake_accuracy: 55.17578
Epoch 35/400 | G_loss: 0.69441 | D_loss: 0.69061 | D_real_accuracy: 44.67773 | D_fake_accuracy: 58.44727
Epoch 36/400 | G_loss: 0.70614 | D_loss: 0.69127 | D_real_accuracy: 35.59570 | D_fake_accuracy: 56.64062
