epoch,step,train_acc,train_loss,val_acc,val_loss
6,2549,0.9609375,0.19944961369037628,,
6,2599,0.9296875,0.21204623579978943,,
6,2649,0.890625,0.49728989601135254,,
6,2699,0.921875,0.3006352484226227,,
6,2749,0.953125,0.17282453179359436,,
6,2799,0.9375,0.2987292408943176,,
6,2849,0.890625,0.40693140029907227,,
6,2899,0.96875,0.15991705656051636,,
6,2949,0.921875,0.25351008772850037,,
6,2953,,,0.9601666927337646,0.14821483194828033
7,2999,0.9609375,0.18379944562911987,,
7,3049,0.9140625,0.23508769273757935,,
7,3099,0.9140625,0.40604063868522644,,
7,3149,0.890625,0.42338868975639343,,
7,3199,0.9453125,0.18455316126346588,,
7,3249,0.9375,0.23031120002269745,,
7,3299,0.921875,0.25293388962745667,,
7,3349,0.8828125,0.4122067391872406,,
7,3375,,,0.9599999785423279,0.14159053564071655
8,3399,0.9296875,0.2981688976287842,,
8,3449,0.9609375,0.1471135914325714,,
8,3499,0.8984375,0.47931966185569763,,
8,3549,0.9296875,0.38638511300086975,,
8,3599,0.8984375,0.4855725169181824,,
8,3649,0.8984375,0.3639582395553589,,
8,3699,0.9453125,0.24032291769981384,,
8,3749,0.8984375,0.38783836364746094,,
8,3797,,,0.9614999890327454,0.14170055091381073
9,3799,0.9296875,0.2439141720533371,,
9,3849,0.921875,0.23297317326068878,,
9,3899,0.96875,0.23130938410758972,,
9,3949,0.9609375,0.21578572690486908,,
9,3999,0.9140625,0.2625875473022461,,
9,4049,0.921875,0.3537118136882782,,
9,4099,0.9375,0.2798915505409241,,
9,4149,0.921875,0.31556436419487,,
9,4199,0.953125,0.2793019711971283,,
9,4219,,,0.9639999866485596,0.13589870929718018
10,4249,0.9765625,0.11639891564846039,,
10,4299,0.9609375,0.18834474682807922,,
10,4349,0.921875,0.2660015821456909,,
10,4399,0.9296875,0.253023236989975,,
10,4449,0.9375,0.2334948480129242,,
10,4499,0.9765625,0.14058154821395874,,
10,4549,0.9296875,0.18641233444213867,,
10,4599,0.9609375,0.13946296274662018,,
10,4641,,,0.9638333320617676,0.13584129512310028
11,4649,0.9296875,0.18736319243907928,,
11,4699,0.90625,0.26421329379081726,,
11,4749,0.9375,0.29283303022384644,,
11,4799,0.953125,0.14473167061805725,,
11,4849,0.9453125,0.2967946231365204,,
11,4899,0.9453125,0.2521110475063324,,
11,4949,0.96875,0.18908441066741943,,
11,4999,0.9453125,0.22581245005130768,,
11,5049,0.96875,0.12852545082569122,,
11,5063,,,0.9653333425521851,0.12959250807762146
12,5099,0.9296875,0.22632378339767456,,
12,5149,0.96875,0.16217249631881714,,
12,5199,0.8984375,0.24786989390850067,,
12,5249,0.9609375,0.19424030184745789,,
12,5299,0.9453125,0.20071937143802643,,
12,5349,0.9453125,0.18940849602222443,,
12,5399,0.9609375,0.1686537116765976,,
12,5449,0.9375,0.164954274892807,,
12,5485,,,0.9638333320617676,0.13130709528923035
13,5499,0.9765625,0.16093014180660248,,
13,5549,0.9453125,0.21395163238048553,,
13,5599,0.90625,0.4744011163711548,,
13,5649,0.953125,0.19346114993095398,,
13,5699,0.953125,0.1410491019487381,,
13,5749,0.953125,0.16652420163154602,,
13,5799,0.9609375,0.1863352656364441,,
13,5849,0.9609375,0.14690040051937103,,
13,5899,0.90625,0.4227226972579956,,
13,5907,,,0.9648333191871643,0.12542955577373505
14,5949,0.9140625,0.41699039936065674,,
14,5999,0.8828125,0.2877603769302368,,
14,6049,0.9140625,0.3113849461078644,,
14,6099,0.9375,0.27043554186820984,,
14,6149,0.9296875,0.2361728399991989,,
14,6199,0.9375,0.3928496539592743,,
14,6249,0.9375,0.2728044390678406,,
14,6299,0.9609375,0.140851691365242,,
14,6329,,,0.9660000205039978,0.13242723047733307
15,6349,0.9609375,0.16812115907669067,,
15,6399,0.984375,0.13612711429595947,,
15,6449,0.9296875,0.2520488500595093,,
15,6499,0.921875,0.26509198546409607,,
15,6549,0.9609375,0.1316787451505661,,
15,6599,0.953125,0.13411903381347656,,
15,6649,0.9375,0.19955775141716003,,
15,6699,0.9609375,0.13275495171546936,,
15,6749,0.9296875,0.21657557785511017,,
15,6751,,,0.9664999842643738,0.1291998326778412
16,6799,0.9609375,0.14747577905654907,,
16,6849,0.9609375,0.10894943028688431,,
16,6899,0.9609375,0.21260005235671997,,
16,6949,0.9375,0.2535635232925415,,
16,6999,0.9609375,0.15389789640903473,,
16,7049,0.9453125,0.20721003413200378,,
16,7099,0.9453125,0.17411492764949799,,
16,7149,0.9765625,0.0712180957198143,,
16,7173,,,0.9681666493415833,0.12322460114955902
17,7199,0.9375,0.22215721011161804,,
17,7249,0.9453125,0.2594791054725647,,
17,7299,0.9453125,0.26134341955184937,,
17,7349,0.9453125,0.21479476988315582,,
17,7399,0.9296875,0.19614797830581665,,
17,7449,0.96875,0.20565906167030334,,
17,7499,0.9765625,0.1558019518852234,,
17,7549,0.9609375,0.10906122624874115,,
17,7595,,,0.9670000076293945,0.12223325669765472
18,7599,0.90625,0.30820930004119873,,
18,7649,0.9609375,0.17531773447990417,,
18,7699,0.9609375,0.21240481734275818,,
18,7749,0.9453125,0.39355167746543884,,
18,7799,0.9140625,0.293501615524292,,
18,7849,0.96875,0.1353827267885208,,
18,7899,0.9296875,0.2190600335597992,,
18,7949,0.9765625,0.21380279958248138,,
18,7999,0.9921875,0.08212841302156448,,
18,8017,,,0.9693333506584167,0.11564866453409195
19,8049,0.9375,0.20610661804676056,,
19,8099,0.9296875,0.2528690993785858,,
19,8149,0.953125,0.19595105946063995,,
19,8199,0.9140625,0.3346867859363556,,
19,8249,0.953125,0.13470737636089325,,
19,8299,0.9609375,0.10434336960315704,,
19,8349,0.9609375,0.3167359530925751,,
19,8399,0.9453125,0.14707937836647034,,
19,8439,,,0.9676666855812073,0.1216859221458435
20,8449,0.9765625,0.08171311765909195,,
20,8499,0.953125,0.2808234393596649,,
20,8549,0.9375,0.16354991495609283,,
20,8599,0.9453125,0.2100677788257599,,
20,8649,0.9453125,0.5949819087982178,,
20,8699,0.953125,0.19800031185150146,,
20,8749,0.9375,0.23733079433441162,,
20,8799,0.9765625,0.12389560043811798,,
20,8849,0.953125,0.1130349412560463,,
20,8861,,,0.968500018119812,0.117379330098629
21,8899,0.96875,0.14040420949459076,,
21,8949,0.96875,0.12948548793792725,,
21,8999,0.9296875,0.27440640330314636,,
21,9049,0.984375,0.10715854167938232,,
21,9099,0.953125,0.26384785771369934,,
21,9149,0.953125,0.16650398075580597,,
21,9199,0.9375,0.23635998368263245,,
21,9249,0.9765625,0.13233265280723572,,
21,9283,,,0.968999981880188,0.11825136095285416
22,9299,0.953125,0.1331687569618225,,
22,9349,0.9375,0.1932855099439621,,
22,9399,0.9453125,0.14134179055690765,,
22,9449,0.9453125,0.2875310182571411,,
22,9499,0.9765625,0.09290771186351776,,
22,9549,0.96875,0.21029363572597504,,
22,9599,0.9375,0.17389076948165894,,
22,9649,0.9609375,0.1593279093503952,,
22,9699,0.9609375,0.11349787563085556,,
22,9705,,,0.9681666493415833,0.12234683334827423
23,9749,0.921875,0.28259027004241943,,
23,9799,0.9765625,0.08832595497369766,,
23,9849,0.953125,0.11953920125961304,,
23,9899,0.9296875,0.2724769413471222,,
23,9949,0.9609375,0.18034017086029053,,
23,9999,0.9609375,0.10389530658721924,,
