epoch,step,train_loss,val_loss
0,49,0.845971405506134,
0,99,0.5899279117584229,
0,149,0.473939448595047,
0,199,0.3373488187789917,
0,249,0.3241976797580719,
0,299,0.2831743359565735,
0,349,0.29075872898101807,
0,399,0.1530180424451828,
0,421,,0.12478487938642502
1,449,0.2400926947593689,
1,499,0.27294087409973145,
1,549,0.22314326465129852,
1,599,0.34857177734375,
1,649,0.19450287520885468,
1,699,0.15833914279937744,
1,749,0.0701993852853775,
1,799,0.2735801339149475,
1,843,,0.08516571670770645
2,849,0.28477558493614197,
2,899,0.2479446679353714,
2,949,0.15506519377231598,
2,999,0.1644776463508606,
2,1049,0.21300990879535675,
2,1099,0.16299517452716827,
2,1149,0.2015981525182724,
2,1199,0.11507120728492737,
2,1249,0.1648656725883484,
2,1265,,0.06799553334712982
3,1299,0.09248112887144089,
3,1349,0.1535065770149231,
3,1399,0.12885703146457672,
3,1449,0.0963418036699295,
3,1499,0.1778082549571991,
3,1549,0.13043461740016937,
3,1599,0.12125356495380402,
3,1649,0.14073625206947327,
3,1687,,0.06224401295185089
4,1699,0.18724487721920013,
4,1749,0.09589795023202896,
4,1799,0.11044900864362717,
4,1849,0.11272742599248886,
4,1899,0.31146639585494995,
4,1949,0.08478712290525436,
4,1999,0.04450317472219467,
4,2049,0.11931116878986359,
4,2099,0.1080407127737999,
4,2109,,0.05571543052792549
5,2149,0.055107034742832184,
5,2199,0.08629050850868225,
5,2249,0.12301799654960632,
5,2299,0.26249969005584717,
5,2349,0.07445868104696274,
5,2399,0.1877075880765915,
5,2449,0.0909348577260971,
5,2499,0.18684938549995422,
5,2531,,0.050974417477846146
6,2549,0.14548856019973755,
6,2599,0.15241189301013947,
6,2649,0.08054995536804199,
6,2699,0.11373801529407501,
6,2749,0.121526800096035,
6,2799,0.10334587842226028,
6,2849,0.026280580088496208,
6,2899,0.08532460778951645,
6,2949,0.052622824907302856,
6,2953,,0.04680953547358513
7,2999,0.027362331748008728,
7,3049,0.08460758626461029,
7,3099,0.11676861345767975,
7,3149,0.07266712188720703,
7,3199,0.1816689670085907,
7,3249,0.054853107780218124,
7,3299,0.09496855735778809,
7,3349,0.17771804332733154,
7,3375,,0.0448310412466526
8,3399,0.11281606554985046,
8,3449,0.04693927615880966,
8,3499,0.17165341973304749,
8,3549,0.2173907607793808,
8,3599,0.11990147083997726,
8,3649,0.039618588984012604,
8,3699,0.03902994468808174,
8,3749,0.13784314692020416,
8,3797,,0.04264331981539726
9,3799,0.08641325682401657,
9,3849,0.06455212086439133,
9,3899,0.11156853288412094,
9,3949,0.13818378746509552,
9,3999,0.09441903233528137,
9,4049,0.07327140867710114,
9,4099,0.14398089051246643,
9,4149,0.02511303871870041,
9,4199,0.05612891912460327,
9,4219,,0.046106673777103424
10,4249,0.09091981500387192,
10,4299,0.09716968238353729,
10,4349,0.055261120200157166,
10,4399,0.08831815421581268,
10,4449,0.08826348185539246,
10,4499,0.04236637055873871,
10,4549,0.13311375677585602,
10,4599,0.1422155201435089,
10,4641,,0.04017014428973198
11,4649,0.10263794660568237,
11,4699,0.09756863862276077,
11,4749,0.13149113953113556,
11,4799,0.10340023785829544,
11,4849,0.05894289165735245,
11,4899,0.030363652855157852,
11,4949,0.08077280223369598,
11,4999,0.06931678205728531,
11,5049,0.07311184704303741,
11,5063,,0.04005628824234009
12,5099,0.012856860645115376,
12,5149,0.07659154385328293,
12,5199,0.10605408251285553,
12,5249,0.09479771554470062,
12,5299,0.07277136296033859,
12,5349,0.08951717615127563,
12,5399,0.06652441620826721,
12,5449,0.04756728559732437,
12,5485,,0.03874456137418747
13,5499,0.0583491250872612,
13,5549,0.02339840866625309,
13,5599,0.07273750752210617,
13,5649,0.06669489294290543,
13,5699,0.0895574688911438,
13,5749,0.04092880338430405,
13,5799,0.05213243141770363,
13,5849,0.07392372190952301,
13,5899,0.07264984399080276,
13,5907,,0.0383358933031559
14,5949,0.0829283595085144,
14,5999,0.12850381433963776,
14,6049,0.03185110539197922,
14,6099,0.03475407510995865,
14,6149,0.06323528289794922,
14,6199,0.03917472064495087,
14,6249,0.03527592867612839,
14,6299,0.029744215309619904,
14,6329,,0.03714489936828613
15,6349,0.12525469064712524,
15,6399,0.03653423488140106,
15,6449,0.03977485001087189,
15,6499,0.06618519127368927,
15,6549,0.07652083039283752,
15,6599,0.11714068055152893,
15,6649,0.02362934872508049,
15,6699,0.10137724876403809,
