LD=8
Using: cuda
Epoch 1/200 | G_loss: 2.66531 | D_loss: 0.68964 | D_real_accuracy: 99.80469 | D_fake_accuracy: 86.71875
Epoch 2/200 | G_loss: 1.64880 | D_loss: 0.52616 | D_real_accuracy: 99.21875 | D_fake_accuracy: 100.00000
Epoch 3/200 | G_loss: 1.63897 | D_loss: 0.56812 | D_real_accuracy: 98.04688 | D_fake_accuracy: 93.75000
Epoch 4/200 | G_loss: 1.42909 | D_loss: 0.51566 | D_real_accuracy: 99.60938 | D_fake_accuracy: 100.00000
Epoch 5/200 | G_loss: 1.68788 | D_loss: 0.57869 | D_real_accuracy: 97.94922 | D_fake_accuracy: 93.75000
Epoch 6/200 | G_loss: 1.47502 | D_loss: 0.52589 | D_real_accuracy: 98.14453 | D_fake_accuracy: 100.00000
Epoch 7/200 | G_loss: 1.44597 | D_loss: 0.52004 | D_real_accuracy: 99.70703 | D_fake_accuracy: 100.00000
Epoch 8/200 | G_loss: 1.54672 | D_loss: 0.53822 | D_real_accuracy: 96.48438 | D_fake_accuracy: 98.73047
Epoch 9/200 | G_loss: 1.48688 | D_loss: 0.52596 | D_real_accuracy: 99.41406 | D_fake_accuracy: 100.00000
Epoch 10/200 | G_loss: 1.41291 | D_loss: 0.51777 | D_real_accuracy: 99.51172 | D_fake_accuracy: 100.00000
Epoch 11/200 | G_loss: 1.79021 | D_loss: 0.58451 | D_real_accuracy: 95.31250 | D_fake_accuracy: 95.60547
Epoch 12/200 | G_loss: 1.49300 | D_loss: 0.52862 | D_real_accuracy: 99.12109 | D_fake_accuracy: 100.00000
Epoch 13/200 | G_loss: 1.48735 | D_loss: 0.51859 | D_real_accuracy: 99.51172 | D_fake_accuracy: 100.00000
Epoch 14/200 | G_loss: 1.61118 | D_loss: 0.55377 | D_real_accuracy: 94.14062 | D_fake_accuracy: 97.26562
Epoch 15/200 | G_loss: 1.58091 | D_loss: 0.55354 | D_real_accuracy: 98.24219 | D_fake_accuracy: 99.90234
Epoch 16/200 | G_loss: 1.54381 | D_loss: 0.53125 | D_real_accuracy: 99.60938 | D_fake_accuracy: 100.00000
Epoch 17/200 | G_loss: 1.63030 | D_loss: 0.54873 | D_real_accuracy: 97.07031 | D_fake_accuracy: 100.00000
Epoch 18/200 | G_loss: 1.61399 | D_loss: 0.54490 | D_real_accuracy: 97.26562 | D_fake_accuracy: 100.00000
Epoch 19/200 | G_loss: 1.47130 | D_loss: 0.53305 | D_real_accuracy: 98.53516 | D_fake_accuracy: 100.00000
Epoch 20/200 | G_loss: 1.52895 | D_loss: 0.53864 | D_real_accuracy: 97.75391 | D_fake_accuracy: 99.51172
Epoch 21/200 | G_loss: 1.55643 | D_loss: 0.54232 | D_real_accuracy: 98.04688 | D_fake_accuracy: 100.00000
Epoch 22/200 | G_loss: 1.45301 | D_loss: 0.52428 | D_real_accuracy: 98.82812 | D_fake_accuracy: 100.00000
Epoch 23/200 | G_loss: 1.64266 | D_loss: 0.55343 | D_real_accuracy: 96.67969 | D_fake_accuracy: 98.73047
Epoch 24/200 | G_loss: 1.56953 | D_loss: 0.54249 | D_real_accuracy: 97.65625 | D_fake_accuracy: 100.00000
Epoch 25/200 | G_loss: 1.58412 | D_loss: 0.54119 | D_real_accuracy: 98.04688 | D_fake_accuracy: 99.21875
Epoch 26/200 | G_loss: 1.49911 | D_loss: 0.52384 | D_real_accuracy: 99.02344 | D_fake_accuracy: 100.00000
Epoch 27/200 | G_loss: 1.55972 | D_loss: 0.55750 | D_real_accuracy: 96.87500 | D_fake_accuracy: 95.60547
Epoch 28/200 | G_loss: 1.67665 | D_loss: 0.58065 | D_real_accuracy: 94.33594 | D_fake_accuracy: 89.55078
Epoch 29/200 | G_loss: 1.41928 | D_loss: 0.53323 | D_real_accuracy: 98.24219 | D_fake_accuracy: 97.36328
