LD=128
Using: cuda
Epoch 1/400 | G_loss: 0.62582 | D_loss: 0.76631 | D_real_accuracy: 25.78125 | D_fake_accuracy: 2.58789
Epoch 2/400 | G_loss: 0.69485 | D_loss: 0.70290 | D_real_accuracy: 27.78320 | D_fake_accuracy: 28.80859
Epoch 3/400 | G_loss: 0.72618 | D_loss: 0.69254 | D_real_accuracy: 56.54297 | D_fake_accuracy: 59.66797
Epoch 4/400 | G_loss: 0.67518 | D_loss: 0.71103 | D_real_accuracy: 54.78516 | D_fake_accuracy: 11.23047
Epoch 5/400 | G_loss: 0.71898 | D_loss: 0.68382 | D_real_accuracy: 42.67578 | D_fake_accuracy: 78.51562
Epoch 6/400 | G_loss: 0.70521 | D_loss: 0.69398 | D_real_accuracy: 49.41406 | D_fake_accuracy: 55.61523
Epoch 7/400 | G_loss: 0.70260 | D_loss: 0.69225 | D_real_accuracy: 62.06055 | D_fake_accuracy: 50.83008
Epoch 8/400 | G_loss: 0.71872 | D_loss: 0.68201 | D_real_accuracy: 63.47656 | D_fake_accuracy: 77.53906
Epoch 9/400 | G_loss: 0.72215 | D_loss: 0.67278 | D_real_accuracy: 64.79492 | D_fake_accuracy: 81.49414
Epoch 10/400 | G_loss: 0.73852 | D_loss: 0.67686 | D_real_accuracy: 61.13281 | D_fake_accuracy: 75.39062
Epoch 11/400 | G_loss: 0.72546 | D_loss: 0.66738 | D_real_accuracy: 70.36133 | D_fake_accuracy: 99.80469
Epoch 12/400 | G_loss: 0.76713 | D_loss: 0.65949 | D_real_accuracy: 61.91406 | D_fake_accuracy: 81.54297
Epoch 13/400 | G_loss: 0.67976 | D_loss: 0.71811 | D_real_accuracy: 53.61328 | D_fake_accuracy: 34.42383
Epoch 14/400 | G_loss: 0.68547 | D_loss: 0.72195 | D_real_accuracy: 5.17578 | D_fake_accuracy: 50.00000
Epoch 15/400 | G_loss: 0.69827 | D_loss: 0.71523 | D_real_accuracy: 2.63672 | D_fake_accuracy: 62.74414
Epoch 16/400 | G_loss: 0.71490 | D_loss: 0.70380 | D_real_accuracy: 9.86328 | D_fake_accuracy: 100.00000
Epoch 17/400 | G_loss: 0.72023 | D_loss: 0.69885 | D_real_accuracy: 18.06641 | D_fake_accuracy: 100.00000
Epoch 18/400 | G_loss: 0.71680 | D_loss: 0.69512 | D_real_accuracy: 21.82617 | D_fake_accuracy: 89.55078
Epoch 19/400 | G_loss: 0.70006 | D_loss: 0.69718 | D_real_accuracy: 29.88281 | D_fake_accuracy: 39.89258
Epoch 20/400 | G_loss: 0.70065 | D_loss: 0.69651 | D_real_accuracy: 28.32031 | D_fake_accuracy: 57.76367
Epoch 21/400 | G_loss: 0.71884 | D_loss: 0.68818 | D_real_accuracy: 33.54492 | D_fake_accuracy: 100.00000
Epoch 22/400 | G_loss: 0.70347 | D_loss: 0.69333 | D_real_accuracy: 44.28711 | D_fake_accuracy: 48.58398
Epoch 23/400 | G_loss: 0.70351 | D_loss: 0.69465 | D_real_accuracy: 42.28516 | D_fake_accuracy: 67.38281
Epoch 24/400 | G_loss: 0.69326 | D_loss: 0.69539 | D_real_accuracy: 74.07227 | D_fake_accuracy: 30.81055
Epoch 25/400 | G_loss: 0.69231 | D_loss: 0.68881 | D_real_accuracy: 89.06250 | D_fake_accuracy: 21.77734
Epoch 26/400 | G_loss: 0.70813 | D_loss: 0.68769 | D_real_accuracy: 68.65234 | D_fake_accuracy: 75.63477
Epoch 27/400 | G_loss: 0.69977 | D_loss: 0.69593 | D_real_accuracy: 51.46484 | D_fake_accuracy: 55.90820
Epoch 28/400 | G_loss: 0.71540 | D_loss: 0.68702 | D_real_accuracy: 53.80859 | D_fake_accuracy: 73.09570
Epoch 29/400 | G_loss: 0.69992 | D_loss: 0.68893 | D_real_accuracy: 66.84570 | D_fake_accuracy: 47.02148
Epoch 30/400 | G_loss: 0.70934 | D_loss: 0.69068 | D_real_accuracy: 45.45898 | D_fake_accuracy: 69.48242
Epoch 31/400 | G_loss: 0.71045 | D_loss: 0.69129 | D_real_accuracy: 33.10547 | D_fake_accuracy: 82.27539
Epoch 32/400 | G_loss: 0.73834 | D_loss: 0.68345 | D_real_accuracy: 48.87695 | D_fake_accuracy: 83.30078
Epoch 33/400 | G_loss: 0.69960 | D_loss: 0.69206 | D_real_accuracy: 69.48242 | D_fake_accuracy: 48.09570
Epoch 34/400 | G_loss: 0.70551 | D_loss: 0.68436 | D_real_accuracy: 81.73828 | D_fake_accuracy: 50.00000
Epoch 35/400 | G_loss: 0.72035 | D_loss: 0.67746 | D_real_accuracy: 84.61914 | D_fake_accuracy: 50.00000
Epoch 36/400 | G_loss: 0.71877 | D_loss: 0.69212 | D_real_accuracy: 56.88477 | D_fake_accuracy: 90.82031
