LD=16
Using: cuda
Epoch 1/400 | G_loss: 0.62066 | D_loss: 0.77167 | D_real_accuracy: 47.36328 | D_fake_accuracy: 2.00195
Epoch 2/400 | G_loss: 0.71019 | D_loss: 0.69151 | D_real_accuracy: 76.46484 | D_fake_accuracy: 45.41016
Epoch 3/400 | G_loss: 0.71918 | D_loss: 0.69436 | D_real_accuracy: 48.04688 | D_fake_accuracy: 44.48242
Epoch 4/400 | G_loss: 0.76254 | D_loss: 0.68160 | D_real_accuracy: 26.75781 | D_fake_accuracy: 84.22852
Epoch 5/400 | G_loss: 0.76745 | D_loss: 0.66487 | D_real_accuracy: 47.21680 | D_fake_accuracy: 92.57812
Epoch 6/400 | G_loss: 0.70565 | D_loss: 0.68098 | D_real_accuracy: 75.04883 | D_fake_accuracy: 33.54492
Epoch 7/400 | G_loss: 0.76675 | D_loss: 0.66769 | D_real_accuracy: 43.01758 | D_fake_accuracy: 83.98438
Epoch 8/400 | G_loss: 0.79649 | D_loss: 0.65046 | D_real_accuracy: 67.67578 | D_fake_accuracy: 100.00000
Epoch 9/400 | G_loss: 0.75449 | D_loss: 0.67233 | D_real_accuracy: 53.56445 | D_fake_accuracy: 79.58984
Epoch 10/400 | G_loss: 0.85017 | D_loss: 0.64231 | D_real_accuracy: 60.74219 | D_fake_accuracy: 100.00000
Epoch 11/400 | G_loss: 0.74923 | D_loss: 0.66155 | D_real_accuracy: 81.15234 | D_fake_accuracy: 60.20508
Epoch 12/400 | G_loss: 0.66531 | D_loss: 0.72762 | D_real_accuracy: 40.82031 | D_fake_accuracy: 20.41016
Epoch 13/400 | G_loss: 0.68544 | D_loss: 0.71805 | D_real_accuracy: 16.89453 | D_fake_accuracy: 37.54883
Epoch 14/400 | G_loss: 0.70531 | D_loss: 0.71577 | D_real_accuracy: 8.44727 | D_fake_accuracy: 52.34375
Epoch 15/400 | G_loss: 0.72415 | D_loss: 0.70446 | D_real_accuracy: 15.91797 | D_fake_accuracy: 100.00000
Epoch 16/400 | G_loss: 0.73093 | D_loss: 0.69834 | D_real_accuracy: 22.65625 | D_fake_accuracy: 100.00000
Epoch 17/400 | G_loss: 0.73911 | D_loss: 0.69411 | D_real_accuracy: 26.41602 | D_fake_accuracy: 99.85352
Epoch 18/400 | G_loss: 0.72253 | D_loss: 0.69428 | D_real_accuracy: 27.14844 | D_fake_accuracy: 85.20508
Epoch 19/400 | G_loss: 0.70970 | D_loss: 0.69358 | D_real_accuracy: 38.03711 | D_fake_accuracy: 57.56836
Epoch 20/400 | G_loss: 0.71042 | D_loss: 0.69644 | D_real_accuracy: 29.88281 | D_fake_accuracy: 59.22852
Epoch 21/400 | G_loss: 0.72580 | D_loss: 0.69388 | D_real_accuracy: 28.07617 | D_fake_accuracy: 82.95898
Epoch 22/400 | G_loss: 0.71253 | D_loss: 0.69228 | D_real_accuracy: 36.86523 | D_fake_accuracy: 56.93359
Epoch 23/400 | G_loss: 0.73348 | D_loss: 0.68379 | D_real_accuracy: 35.20508 | D_fake_accuracy: 73.14453
Epoch 24/400 | G_loss: 0.72225 | D_loss: 0.68796 | D_real_accuracy: 57.56836 | D_fake_accuracy: 63.57422
Epoch 25/400 | G_loss: 0.70511 | D_loss: 0.69465 | D_real_accuracy: 48.24219 | D_fake_accuracy: 65.91797
Epoch 26/400 | G_loss: 0.72903 | D_loss: 0.68715 | D_real_accuracy: 46.24023 | D_fake_accuracy: 70.94727
Epoch 27/400 | G_loss: 0.72491 | D_loss: 0.68901 | D_real_accuracy: 40.33203 | D_fake_accuracy: 72.46094
Epoch 28/400 | G_loss: 0.71765 | D_loss: 0.68094 | D_real_accuracy: 76.80664 | D_fake_accuracy: 57.56836
Epoch 29/400 | G_loss: 0.71606 | D_loss: 0.68292 | D_real_accuracy: 50.58594 | D_fake_accuracy: 70.65430
Epoch 30/400 | G_loss: 0.69514 | D_loss: 0.69904 | D_real_accuracy: 45.26367 | D_fake_accuracy: 28.75977
Epoch 31/400 | G_loss: 0.70366 | D_loss: 0.69475 | D_real_accuracy: 64.84375 | D_fake_accuracy: 50.04883
Epoch 32/400 | G_loss: 0.69563 | D_loss: 0.69533 | D_real_accuracy: 56.59180 | D_fake_accuracy: 40.72266
Epoch 33/400 | G_loss: 0.66915 | D_loss: 0.69956 | D_real_accuracy: 75.92773 | D_fake_accuracy: 10.15625
Epoch 34/400 | G_loss: 0.67260 | D_loss: 0.69605 | D_real_accuracy: 80.76172 | D_fake_accuracy: 3.61328
Epoch 35/400 | G_loss: 0.67726 | D_loss: 0.69518 | D_real_accuracy: 79.98047 | D_fake_accuracy: 4.05273
Epoch 36/400 | G_loss: 0.68490 | D_loss: 0.69689 | D_real_accuracy: 54.49219 | D_fake_accuracy: 28.36914
Epoch 37/400 | G_loss: 0.68672 | D_loss: 0.69795 | D_real_accuracy: 43.01758 | D_fake_accuracy: 30.17578
Epoch 38/400 | G_loss: 0.68621 | D_loss: 0.69734 | D_real_accuracy: 58.64258 | D_fake_accuracy: 15.18555
Epoch 39/400 | G_loss: 0.68736 | D_loss: 0.69603 | D_real_accuracy: 66.94336 | D_fake_accuracy: 9.76562
Epoch 40/400 | G_loss: 0.69091 | D_loss: 0.69747 | D_real_accuracy: 47.75391 | D_fake_accuracy: 26.12305
Epoch 41/400 | G_loss: 0.69103 | D_loss: 0.69640 | D_real_accuracy: 44.58008 | D_fake_accuracy: 31.59180
Epoch 42/400 | G_loss: 0.69275 | D_loss: 0.69431 | D_real_accuracy: 51.80664 | D_fake_accuracy: 36.08398
