LD=128
Using: cuda
Epoch 1/400 | G_loss: 2.57126 | D_loss: 0.78656 | D_real_acc: 94.25% | D_fake_acc: 100.00% | Class_acc: 97.25%
Epoch 2/400 | G_loss: 1.92532 | D_loss: 0.59095 | D_real_acc: 98.75% | D_fake_acc: 100.00% | Class_acc: 99.56%
Epoch 3/400 | G_loss: 1.87844 | D_loss: 0.54696 | D_real_acc: 98.38% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 4/400 | G_loss: 2.45325 | D_loss: 0.78872 | D_real_acc: 95.06% | D_fake_acc: 96.00% | Class_acc: 96.38%
Epoch 5/400 | G_loss: 1.81557 | D_loss: 0.53041 | D_real_acc: 98.75% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 6/400 | G_loss: 2.91754 | D_loss: 0.76263 | D_real_acc: 98.81% | D_fake_acc: 96.00% | Class_acc: 97.88%
Epoch 7/400 | G_loss: 1.89248 | D_loss: 0.55066 | D_real_acc: 97.44% | D_fake_acc: 100.00% | Class_acc: 99.69%
Epoch 8/400 | G_loss: 1.69903 | D_loss: 0.52704 | D_real_acc: 98.31% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 9/400 | G_loss: 1.78584 | D_loss: 0.53529 | D_real_acc: 97.38% | D_fake_acc: 98.19% | Class_acc: 99.88%
Epoch 10/400 | G_loss: 1.61177 | D_loss: 0.51581 | D_real_acc: 98.38% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 11/400 | G_loss: 1.74220 | D_loss: 0.54703 | D_real_acc: 95.44% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 12/400 | G_loss: 1.64356 | D_loss: 0.52992 | D_real_acc: 97.06% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 13/400 | G_loss: 1.63096 | D_loss: 0.52041 | D_real_acc: 99.31% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 14/400 | G_loss: 1.61249 | D_loss: 0.51904 | D_real_acc: 98.88% | D_fake_acc: 100.00% | Class_acc: 99.88%
