epoch,step,train_acc,train_loss
0,49,0.3359375,2.018620252609253
0,99,0.515625,1.3466535806655884
0,149,0.6015625,1.1459141969680786
0,199,0.6484375,1.0937374830245972
0,249,0.6875,0.9321680068969727
0,299,0.7578125,0.6628934741020203
0,349,0.7421875,0.7798171043395996
