LD=16
Using: cuda
Epoch 1/200 | G_loss: 1.54086 | D_loss: 0.52654 | D_real_accuracy: 96.28906 | D_fake_accuracy: 100.00000
Epoch 2/200 | G_loss: 1.45041 | D_loss: 0.51473 | D_real_accuracy: 98.87695 | D_fake_accuracy: 100.00000
Epoch 3/200 | G_loss: 1.42957 | D_loss: 0.51249 | D_real_accuracy: 99.02344 | D_fake_accuracy: 100.00000
Epoch 4/200 | G_loss: 1.46285 | D_loss: 0.51314 | D_real_accuracy: 99.46289 | D_fake_accuracy: 100.00000
Epoch 5/200 | G_loss: 1.66154 | D_loss: 0.56266 | D_real_accuracy: 93.55469 | D_fake_accuracy: 97.55859
Epoch 6/200 | G_loss: 1.53498 | D_loss: 0.51717 | D_real_accuracy: 98.73047 | D_fake_accuracy: 100.00000
Epoch 7/200 | G_loss: 1.68134 | D_loss: 0.54781 | D_real_accuracy: 96.14258 | D_fake_accuracy: 98.87695
Epoch 8/200 | G_loss: 1.50314 | D_loss: 0.52207 | D_real_accuracy: 97.85156 | D_fake_accuracy: 98.09570
Epoch 9/200 | G_loss: 1.64379 | D_loss: 0.54381 | D_real_accuracy: 97.02148 | D_fake_accuracy: 96.72852
Epoch 10/200 | G_loss: 1.53800 | D_loss: 0.51034 | D_real_accuracy: 98.87695 | D_fake_accuracy: 100.00000
Epoch 11/200 | G_loss: 1.74286 | D_loss: 0.61095 | D_real_accuracy: 87.89062 | D_fake_accuracy: 87.35352
Epoch 12/200 | G_loss: 1.56091 | D_loss: 0.57139 | D_real_accuracy: 90.77148 | D_fake_accuracy: 89.94141
Epoch 13/200 | G_loss: 1.55633 | D_loss: 0.56373 | D_real_accuracy: 92.57812 | D_fake_accuracy: 93.70117
Epoch 14/200 | G_loss: 1.29561 | D_loss: 0.55935 | D_real_accuracy: 91.69922 | D_fake_accuracy: 98.48633
Epoch 15/200 | G_loss: 1.34042 | D_loss: 0.55498 | D_real_accuracy: 91.69922 | D_fake_accuracy: 98.77930
