epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.5078125,1.3219965696334839,,
0,99,0.78125,0.7390297651290894,,
0,149,0.875,0.4868258833885193,,
0,199,0.8515625,0.5037379264831543,,
0,249,0.921875,0.38692358136177063,,
0,299,0.90625,0.251259982585907,,
0,349,0.8984375,0.3653310537338257,,
0,399,0.9453125,0.15916010737419128,,
0,421,,,0.9706666469573975,0.10472510010004044
1,449,0.9375,0.17878752946853638,,
1,499,0.9609375,0.14600004255771637,,
1,549,0.9453125,0.17835208773612976,,
1,599,0.9453125,0.15446920692920685,,
1,649,0.953125,0.2748622000217438,,
1,699,0.9453125,0.2197672575712204,,
1,749,0.9140625,0.49379268288612366,,
1,799,0.96875,0.09190664440393448,,
1,843,,,0.9788333177566528,0.0803104117512703
2,849,0.9375,0.16460257768630981,,
2,899,0.9609375,0.2153637409210205,,
2,949,0.96875,0.13004522025585175,,
2,999,0.96875,0.12154102325439453,,
2,1049,0.9375,0.24709798395633698,,
2,1099,0.9609375,0.14455212652683258,,
2,1149,0.90625,0.24267975986003876,,
2,1199,0.96875,0.13254030048847198,,
2,1249,0.96875,0.09814068675041199,,
2,1265,,,0.984499990940094,0.059953074902296066
3,1299,0.953125,0.17816536128520966,,
3,1349,0.9375,0.23853842914104462,,
3,1399,0.984375,0.1157345175743103,,
3,1449,0.9609375,0.2247610241174698,,
3,1499,0.9609375,0.10117125511169434,,
3,1549,0.9765625,0.05854077264666557,,
3,1599,0.96875,0.08817403763532639,,
3,1649,0.9921875,0.05082639306783676,,
3,1687,,,0.9871666431427002,0.04922094568610191
4,1699,0.9765625,0.07705026865005493,,
4,1749,0.96875,0.14710748195648193,,
4,1799,0.96875,0.10014218837022781,,
4,1849,0.96875,0.12968017160892487,,
4,1899,0.9609375,0.22283002734184265,,
4,1949,0.984375,0.05531690642237663,,
4,1999,0.9921875,0.08890903741121292,,
4,2049,0.984375,0.08602219820022583,,
4,2099,1.0,0.03364792838692665,,
4,2109,,,0.9856666922569275,0.05643630027770996
5,2149,0.9609375,0.07161261886358261,,
5,2199,0.96875,0.08480604737997055,,
5,2249,0.96875,0.08684498071670532,,
5,2299,0.953125,0.10789484530687332,,
5,2349,0.9609375,0.11393380165100098,,
5,2399,0.9765625,0.21619100868701935,,
5,2449,1.0,0.04388376697897911,,
5,2499,0.984375,0.09907658398151398,,
5,2531,,,0.9878333210945129,0.049070049077272415
6,2549,0.9765625,0.07753803580999374,,
6,2599,0.96875,0.12297710031270981,,
6,2649,0.9375,0.18432074785232544,,
6,2699,0.9921875,0.04624228551983833,,
6,2749,0.984375,0.08948638290166855,,
6,2799,0.9765625,0.06452585011720657,,
6,2849,0.9765625,0.07670066505670547,,
6,2899,0.9609375,0.11584430187940598,,
6,2949,0.9609375,0.14929410815238953,,
6,2953,,,0.987333357334137,0.044500965625047684
7,2999,1.0,0.036769989877939224,,
7,3049,0.984375,0.056963663548231125,,
7,3099,0.9921875,0.03656570240855217,,
7,3149,0.96875,0.15978671610355377,,
7,3199,0.984375,0.0629640594124794,,
7,3249,0.9765625,0.04923446476459503,,
7,3299,0.984375,0.052570223808288574,,
7,3349,0.96875,0.08270964026451111,,
