LD=32
Using: cuda
Epoch 1/400 | G_loss: 0.90704 | D_loss: 1.10006 | D_real_acc: 31.06% | D_fake_acc: 45.69% | Class_acc: 80.81%
Epoch 2/400 | G_loss: 0.86783 | D_loss: 0.86778 | D_real_acc: 41.69% | D_fake_acc: 94.00% | Class_acc: 95.88%
Epoch 3/400 | G_loss: 0.76946 | D_loss: 0.82491 | D_real_acc: 3.56% | D_fake_acc: 87.56% | Class_acc: 99.50%
Epoch 4/400 | G_loss: 0.77311 | D_loss: 0.78938 | D_real_acc: 2.62% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 5/400 | G_loss: 0.77365 | D_loss: 0.76776 | D_real_acc: 7.44% | D_fake_acc: 95.88% | Class_acc: 99.88%
Epoch 6/400 | G_loss: 0.79656 | D_loss: 0.74770 | D_real_acc: 5.50% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 7/400 | G_loss: 0.79374 | D_loss: 0.73023 | D_real_acc: 17.94% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 8/400 | G_loss: 0.81484 | D_loss: 0.72259 | D_real_acc: 26.00% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 9/400 | G_loss: 0.79609 | D_loss: 0.71638 | D_real_acc: 23.56% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 10/400 | G_loss: 0.80796 | D_loss: 0.71201 | D_real_acc: 18.94% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 11/400 | G_loss: 0.77071 | D_loss: 0.71777 | D_real_acc: 32.31% | D_fake_acc: 96.94% | Class_acc: 99.81%
Epoch 12/400 | G_loss: 0.80746 | D_loss: 0.70718 | D_real_acc: 20.06% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 13/400 | G_loss: 0.83013 | D_loss: 0.70937 | D_real_acc: 33.19% | D_fake_acc: 95.44% | Class_acc: 99.88%
Epoch 14/400 | G_loss: 0.78254 | D_loss: 0.70313 | D_real_acc: 37.06% | D_fake_acc: 84.88% | Class_acc: 99.88%
Epoch 15/400 | G_loss: 0.79880 | D_loss: 0.69646 | D_real_acc: 35.81% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 16/400 | G_loss: 0.82106 | D_loss: 0.70341 | D_real_acc: 28.12% | D_fake_acc: 91.56% | Class_acc: 99.88%
Epoch 17/400 | G_loss: 0.77954 | D_loss: 0.69891 | D_real_acc: 51.62% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 18/400 | G_loss: 0.80542 | D_loss: 0.69915 | D_real_acc: 24.38% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 19/400 | G_loss: 0.79713 | D_loss: 0.68564 | D_real_acc: 47.75% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 20/400 | G_loss: 0.85418 | D_loss: 0.69404 | D_real_acc: 33.31% | D_fake_acc: 99.44% | Class_acc: 99.88%
Epoch 21/400 | G_loss: 0.77444 | D_loss: 0.69890 | D_real_acc: 53.06% | D_fake_acc: 88.94% | Class_acc: 99.88%
Epoch 22/400 | G_loss: 0.81084 | D_loss: 0.68016 | D_real_acc: 46.50% | D_fake_acc: 100.00% | Class_acc: 99.88%
