LD=2
Using: cuda
Epoch 1/400 | G_loss: 1.07112 | D_loss: 1.36785 | D_real_acc: 95.56% | D_fake_acc: 22.19% | Class_acc: 86.69%
Epoch 2/400 | G_loss: 1.12299 | D_loss: 0.95981 | D_real_acc: 80.88% | D_fake_acc: 99.25% | Class_acc: 96.12%
Epoch 3/400 | G_loss: 1.04940 | D_loss: 0.87131 | D_real_acc: 69.25% | D_fake_acc: 99.62% | Class_acc: 94.25%
Epoch 4/400 | G_loss: 0.99960 | D_loss: 0.86535 | D_real_acc: 59.56% | D_fake_acc: 100.00% | Class_acc: 93.69%
Epoch 5/400 | G_loss: 0.86748 | D_loss: 0.83480 | D_real_acc: 70.12% | D_fake_acc: 84.94% | Class_acc: 94.69%
Epoch 6/400 | G_loss: 0.74287 | D_loss: 0.81875 | D_real_acc: 57.88% | D_fake_acc: 55.44% | Class_acc: 95.44%
Epoch 7/400 | G_loss: 0.75452 | D_loss: 0.80503 | D_real_acc: 50.31% | D_fake_acc: 51.94% | Class_acc: 96.19%
Epoch 8/400 | G_loss: 0.75355 | D_loss: 0.79000 | D_real_acc: 46.19% | D_fake_acc: 53.56% | Class_acc: 96.44%
Epoch 9/400 | G_loss: 0.75145 | D_loss: 0.78441 | D_real_acc: 40.12% | D_fake_acc: 56.94% | Class_acc: 97.19%
Epoch 10/400 | G_loss: 0.80124 | D_loss: 0.76539 | D_real_acc: 41.75% | D_fake_acc: 83.81% | Class_acc: 97.50%
Epoch 11/400 | G_loss: 0.74632 | D_loss: 0.76542 | D_real_acc: 41.44% | D_fake_acc: 51.94% | Class_acc: 97.94%
Epoch 12/400 | G_loss: 1.08408 | D_loss: 0.86701 | D_real_acc: 54.44% | D_fake_acc: 91.69% | Class_acc: 98.25%
Epoch 13/400 | G_loss: 0.78343 | D_loss: 0.75083 | D_real_acc: 34.12% | D_fake_acc: 68.56% | Class_acc: 98.06%
Epoch 14/400 | G_loss: 0.75276 | D_loss: 0.74375 | D_real_acc: 55.62% | D_fake_acc: 52.75% | Class_acc: 98.75%
Epoch 15/400 | G_loss: 0.77795 | D_loss: 0.73767 | D_real_acc: 44.44% | D_fake_acc: 73.50% | Class_acc: 99.00%
Epoch 16/400 | G_loss: 0.77340 | D_loss: 0.72885 | D_real_acc: 46.75% | D_fake_acc: 59.00% | Class_acc: 99.12%
Epoch 17/400 | G_loss: 0.79751 | D_loss: 0.71375 | D_real_acc: 59.19% | D_fake_acc: 73.56% | Class_acc: 99.38%
Epoch 18/400 | G_loss: 0.78923 | D_loss: 0.73139 | D_real_acc: 37.62% | D_fake_acc: 70.12% | Class_acc: 99.50%
Epoch 19/400 | G_loss: 0.76356 | D_loss: 0.72889 | D_real_acc: 51.44% | D_fake_acc: 63.00% | Class_acc: 99.56%
Epoch 20/400 | G_loss: 0.83340 | D_loss: 0.70219 | D_real_acc: 60.38% | D_fake_acc: 80.69% | Class_acc: 99.62%
Epoch 21/400 | G_loss: 0.76983 | D_loss: 0.73250 | D_real_acc: 39.69% | D_fake_acc: 76.31% | Class_acc: 99.75%
Epoch 22/400 | G_loss: 0.78374 | D_loss: 0.70760 | D_real_acc: 69.19% | D_fake_acc: 65.94% | Class_acc: 99.81%
Epoch 23/400 | G_loss: 0.75461 | D_loss: 0.71138 | D_real_acc: 56.19% | D_fake_acc: 78.25% | Class_acc: 99.81%
Epoch 24/400 | G_loss: 0.80459 | D_loss: 0.72577 | D_real_acc: 44.44% | D_fake_acc: 82.94% | Class_acc: 99.75%
Epoch 25/400 | G_loss: 0.77449 | D_loss: 0.72059 | D_real_acc: 66.50% | D_fake_acc: 67.31% | Class_acc: 99.81%
Epoch 26/400 | G_loss: 0.78408 | D_loss: 0.71443 | D_real_acc: 49.69% | D_fake_acc: 80.06% | Class_acc: 99.81%
Epoch 27/400 | G_loss: 0.78131 | D_loss: 0.71088 | D_real_acc: 64.00% | D_fake_acc: 72.69% | Class_acc: 99.81%
Epoch 28/400 | G_loss: 0.79045 | D_loss: 0.70199 | D_real_acc: 54.06% | D_fake_acc: 79.38% | Class_acc: 99.88%
Epoch 29/400 | G_loss: 0.76858 | D_loss: 0.71676 | D_real_acc: 62.19% | D_fake_acc: 74.75% | Class_acc: 99.81%
Epoch 30/400 | G_loss: 0.77800 | D_loss: 0.71460 | D_real_acc: 45.06% | D_fake_acc: 70.62% | Class_acc: 99.69%
