LD=16
Using: cuda
Epoch 1/400 | G_loss: 0.91087 | D_loss: 1.15958 | D_real_acc: 44.44% | D_fake_acc: 42.81% | Class_acc: 73.19%
Epoch 2/400 | G_loss: 0.93253 | D_loss: 0.85489 | D_real_acc: 77.38% | D_fake_acc: 100.00% | Class_acc: 99.62%
Epoch 3/400 | G_loss: 0.75118 | D_loss: 0.82433 | D_real_acc: 23.69% | D_fake_acc: 59.25% | Class_acc: 99.75%
Epoch 4/400 | G_loss: 0.78722 | D_loss: 0.78616 | D_real_acc: 4.06% | D_fake_acc: 98.56% | Class_acc: 99.81%
Epoch 5/400 | G_loss: 0.77616 | D_loss: 0.76787 | D_real_acc: 7.81% | D_fake_acc: 96.88% | Class_acc: 99.81%
Epoch 6/400 | G_loss: 0.78658 | D_loss: 0.75363 | D_real_acc: 6.31% | D_fake_acc: 96.44% | Class_acc: 99.81%
Epoch 7/400 | G_loss: 0.79472 | D_loss: 0.73151 | D_real_acc: 22.50% | D_fake_acc: 92.56% | Class_acc: 99.81%
Epoch 8/400 | G_loss: 0.78311 | D_loss: 0.73599 | D_real_acc: 7.88% | D_fake_acc: 95.94% | Class_acc: 99.81%
Epoch 9/400 | G_loss: 0.81117 | D_loss: 0.71526 | D_real_acc: 22.50% | D_fake_acc: 100.00% | Class_acc: 99.75%
Epoch 10/400 | G_loss: 0.84002 | D_loss: 0.71967 | D_real_acc: 13.81% | D_fake_acc: 98.00% | Class_acc: 99.88%
Epoch 11/400 | G_loss: 0.77011 | D_loss: 0.71229 | D_real_acc: 17.25% | D_fake_acc: 88.00% | Class_acc: 99.81%
Epoch 12/400 | G_loss: 0.80764 | D_loss: 0.70155 | D_real_acc: 27.12% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 13/400 | G_loss: 0.83423 | D_loss: 0.71238 | D_real_acc: 21.25% | D_fake_acc: 88.56% | Class_acc: 99.94%
Epoch 14/400 | G_loss: 0.78030 | D_loss: 0.70296 | D_real_acc: 45.12% | D_fake_acc: 72.50% | Class_acc: 99.94%
Epoch 15/400 | G_loss: 0.80847 | D_loss: 0.71244 | D_real_acc: 13.00% | D_fake_acc: 94.12% | Class_acc: 99.88%
Epoch 16/400 | G_loss: 0.81553 | D_loss: 0.69031 | D_real_acc: 31.37% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 17/400 | G_loss: 0.86374 | D_loss: 0.69748 | D_real_acc: 29.75% | D_fake_acc: 94.88% | Class_acc: 99.94%
Epoch 18/400 | G_loss: 0.82373 | D_loss: 0.69825 | D_real_acc: 15.00% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 19/400 | G_loss: 0.80383 | D_loss: 0.68653 | D_real_acc: 43.62% | D_fake_acc: 96.50% | Class_acc: 99.88%
Epoch 20/400 | G_loss: 0.88432 | D_loss: 0.68923 | D_real_acc: 19.25% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 21/400 | G_loss: 0.82943 | D_loss: 0.68964 | D_real_acc: 46.56% | D_fake_acc: 66.12% | Class_acc: 99.94%
Epoch 22/400 | G_loss: 0.82755 | D_loss: 0.68556 | D_real_acc: 36.50% | D_fake_acc: 95.38% | Class_acc: 99.94%
Epoch 23/400 | G_loss: 0.82856 | D_loss: 0.69472 | D_real_acc: 35.06% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 24/400 | G_loss: 0.85854 | D_loss: 0.67922 | D_real_acc: 38.25% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 25/400 | G_loss: 0.85733 | D_loss: 0.69204 | D_real_acc: 45.25% | D_fake_acc: 76.44% | Class_acc: 99.88%
Epoch 26/400 | G_loss: 0.83123 | D_loss: 0.67829 | D_real_acc: 46.00% | D_fake_acc: 88.94% | Class_acc: 99.94%
Epoch 27/400 | G_loss: 0.84193 | D_loss: 0.68166 | D_real_acc: 47.88% | D_fake_acc: 94.12% | Class_acc: 99.94%
Epoch 28/400 | G_loss: 0.81853 | D_loss: 0.68179 | D_real_acc: 50.12% | D_fake_acc: 72.31% | Class_acc: 99.94%
Epoch 29/400 | G_loss: 0.97486 | D_loss: 0.66988 | D_real_acc: 49.19% | D_fake_acc: 87.56% | Class_acc: 99.94%
Epoch 30/400 | G_loss: 0.86923 | D_loss: 0.68256 | D_real_acc: 60.81% | D_fake_acc: 77.38% | Class_acc: 99.94%
Epoch 31/400 | G_loss: 0.79599 | D_loss: 0.68196 | D_real_acc: 44.56% | D_fake_acc: 77.50% | Class_acc: 99.94%
Epoch 32/400 | G_loss: 0.84455 | D_loss: 0.67543 | D_real_acc: 53.87% | D_fake_acc: 72.88% | Class_acc: 99.94%
Epoch 33/400 | G_loss: 0.90376 | D_loss: 0.66979 | D_real_acc: 70.12% | D_fake_acc: 79.75% | Class_acc: 99.94%
Epoch 34/400 | G_loss: 0.79522 | D_loss: 0.67752 | D_real_acc: 70.75% | D_fake_acc: 53.69% | Class_acc: 99.94%
Epoch 35/400 | G_loss: 0.89564 | D_loss: 0.66024 | D_real_acc: 43.56% | D_fake_acc: 99.81% | Class_acc: 99.94%
Epoch 36/400 | G_loss: 0.82130 | D_loss: 0.69333 | D_real_acc: 46.50% | D_fake_acc: 85.19% | Class_acc: 99.88%
Epoch 37/400 | G_loss: 0.83174 | D_loss: 0.66523 | D_real_acc: 60.19% | D_fake_acc: 99.62% | Class_acc: 99.81%
Epoch 38/400 | G_loss: 0.83083 | D_loss: 0.68282 | D_real_acc: 54.25% | D_fake_acc: 68.50% | Class_acc: 99.94%
Epoch 39/400 | G_loss: 0.80997 | D_loss: 0.69079 | D_real_acc: 51.88% | D_fake_acc: 61.69% | Class_acc: 99.94%
Epoch 40/400 | G_loss: 0.76730 | D_loss: 0.69656 | D_real_acc: 63.56% | D_fake_acc: 43.31% | Class_acc: 99.94%
Epoch 41/400 | G_loss: 0.70410 | D_loss: 0.72389 | D_real_acc: 38.06% | D_fake_acc: 53.19% | Class_acc: 99.94%
Epoch 42/400 | G_loss: 0.72130 | D_loss: 0.70268 | D_real_acc: 44.81% | D_fake_acc: 31.44% | Class_acc: 99.94%
Epoch 43/400 | G_loss: 0.71255 | D_loss: 0.69934 | D_real_acc: 54.06% | D_fake_acc: 26.19% | Class_acc: 99.88%
Epoch 44/400 | G_loss: 0.67662 | D_loss: 0.70012 | D_real_acc: 80.56% | D_fake_acc: 24.94% | Class_acc: 99.94%
Epoch 45/400 | G_loss: 0.69878 | D_loss: 0.69797 | D_real_acc: 79.56% | D_fake_acc: 25.19% | Class_acc: 99.94%
Epoch 46/400 | G_loss: 0.70940 | D_loss: 0.69601 | D_real_acc: 75.56% | D_fake_acc: 24.44% | Class_acc: 99.94%
Epoch 47/400 | G_loss: 0.69706 | D_loss: 0.69901 | D_real_acc: 77.44% | D_fake_acc: 27.81% | Class_acc: 99.88%
Epoch 48/400 | G_loss: 0.70051 | D_loss: 0.70036 | D_real_acc: 69.12% | D_fake_acc: 34.94% | Class_acc: 99.94%
Epoch 49/400 | G_loss: 0.75354 | D_loss: 0.68870 | D_real_acc: 73.88% | D_fake_acc: 45.31% | Class_acc: 99.88%
Epoch 50/400 | G_loss: 0.71523 | D_loss: 0.69550 | D_real_acc: 71.31% | D_fake_acc: 39.06% | Class_acc: 99.94%
Epoch 51/400 | G_loss: 0.69919 | D_loss: 0.69684 | D_real_acc: 74.56% | D_fake_acc: 30.25% | Class_acc: 99.94%
Epoch 52/400 | G_loss: 0.71605 | D_loss: 0.68954 | D_real_acc: 72.44% | D_fake_acc: 33.81% | Class_acc: 99.94%
Epoch 53/400 | G_loss: 0.71702 | D_loss: 0.69762 | D_real_acc: 70.94% | D_fake_acc: 39.81% | Class_acc: 99.94%
Epoch 54/400 | G_loss: 0.71773 | D_loss: 0.69090 | D_real_acc: 75.06% | D_fake_acc: 26.88% | Class_acc: 99.94%
Epoch 55/400 | G_loss: 0.70036 | D_loss: 0.69273 | D_real_acc: 79.44% | D_fake_acc: 39.00% | Class_acc: 99.94%
Epoch 56/400 | G_loss: 0.74134 | D_loss: 0.69163 | D_real_acc: 52.12% | D_fake_acc: 46.62% | Class_acc: 99.94%
Epoch 57/400 | G_loss: 0.73966 | D_loss: 0.68994 | D_real_acc: 40.38% | D_fake_acc: 61.00% | Class_acc: 99.94%
Epoch 58/400 | G_loss: 0.74487 | D_loss: 0.68695 | D_real_acc: 71.19% | D_fake_acc: 48.19% | Class_acc: 99.94%
Epoch 59/400 | G_loss: 0.74883 | D_loss: 0.68784 | D_real_acc: 57.06% | D_fake_acc: 56.12% | Class_acc: 99.94%
Epoch 60/400 | G_loss: 0.72176 | D_loss: 0.69163 | D_real_acc: 75.12% | D_fake_acc: 33.00% | Class_acc: 99.94%
Epoch 61/400 | G_loss: 0.79002 | D_loss: 0.69372 | D_real_acc: 38.75% | D_fake_acc: 89.69% | Class_acc: 99.94%
Epoch 62/400 | G_loss: 0.75652 | D_loss: 0.68230 | D_real_acc: 77.50% | D_fake_acc: 42.38% | Class_acc: 99.88%
Epoch 63/400 | G_loss: 0.75440 | D_loss: 0.68816 | D_real_acc: 73.50% | D_fake_acc: 36.12% | Class_acc: 99.94%
Epoch 64/400 | G_loss: 0.74129 | D_loss: 0.69212 | D_real_acc: 63.88% | D_fake_acc: 43.94% | Class_acc: 99.88%
Epoch 65/400 | G_loss: 0.74685 | D_loss: 0.68797 | D_real_acc: 52.94% | D_fake_acc: 43.25% | Class_acc: 99.94%
Epoch 66/400 | G_loss: 0.75354 | D_loss: 0.68882 | D_real_acc: 54.00% | D_fake_acc: 61.75% | Class_acc: 99.94%
Epoch 67/400 | G_loss: 0.77053 | D_loss: 0.68018 | D_real_acc: 78.00% | D_fake_acc: 41.81% | Class_acc: 99.94%
