LD=128
Using: cuda
Epoch 1/400 | G_loss: 0.83721 | D_loss: 1.15839 | D_real_acc: 40.56% | D_fake_acc: 47.75% | Class_acc: 82.44%
Epoch 2/400 | G_loss: 0.86992 | D_loss: 0.89837 | D_real_acc: 43.31% | D_fake_acc: 97.69% | Class_acc: 99.62%
Epoch 3/400 | G_loss: 0.83371 | D_loss: 0.83684 | D_real_acc: 19.31% | D_fake_acc: 86.88% | Class_acc: 99.69%
Epoch 4/400 | G_loss: 0.77162 | D_loss: 0.79869 | D_real_acc: 13.19% | D_fake_acc: 78.00% | Class_acc: 99.81%
Epoch 5/400 | G_loss: 0.76241 | D_loss: 0.77576 | D_real_acc: 20.06% | D_fake_acc: 88.06% | Class_acc: 99.81%
Epoch 6/400 | G_loss: 0.77309 | D_loss: 0.74974 | D_real_acc: 13.63% | D_fake_acc: 98.00% | Class_acc: 99.81%
Epoch 7/400 | G_loss: 0.77473 | D_loss: 0.74166 | D_real_acc: 29.31% | D_fake_acc: 97.31% | Class_acc: 99.88%
Epoch 8/400 | G_loss: 0.77708 | D_loss: 0.72882 | D_real_acc: 9.56% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 9/400 | G_loss: 0.78837 | D_loss: 0.72380 | D_real_acc: 32.56% | D_fake_acc: 97.81% | Class_acc: 99.88%
Epoch 10/400 | G_loss: 0.78342 | D_loss: 0.72004 | D_real_acc: 21.31% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 11/400 | G_loss: 0.77374 | D_loss: 0.71716 | D_real_acc: 31.19% | D_fake_acc: 83.12% | Class_acc: 99.88%
Epoch 12/400 | G_loss: 0.76434 | D_loss: 0.70914 | D_real_acc: 28.12% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 13/400 | G_loss: 0.79320 | D_loss: 0.71383 | D_real_acc: 34.19% | D_fake_acc: 79.31% | Class_acc: 99.88%
Epoch 14/400 | G_loss: 0.78050 | D_loss: 0.70870 | D_real_acc: 27.38% | D_fake_acc: 88.31% | Class_acc: 99.88%
Epoch 15/400 | G_loss: 0.77400 | D_loss: 0.69929 | D_real_acc: 46.69% | D_fake_acc: 88.06% | Class_acc: 99.88%
Epoch 16/400 | G_loss: 0.79270 | D_loss: 0.70453 | D_real_acc: 24.44% | D_fake_acc: 98.50% | Class_acc: 99.88%
Epoch 17/400 | G_loss: 0.76773 | D_loss: 0.69419 | D_real_acc: 46.69% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 18/400 | G_loss: 0.82321 | D_loss: 0.68758 | D_real_acc: 33.00% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 19/400 | G_loss: 0.76954 | D_loss: 0.70424 | D_real_acc: 40.31% | D_fake_acc: 90.06% | Class_acc: 99.88%
Epoch 20/400 | G_loss: 0.82054 | D_loss: 0.71145 | D_real_acc: 32.00% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 21/400 | G_loss: 0.77950 | D_loss: 0.68646 | D_real_acc: 49.38% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 22/400 | G_loss: 0.82498 | D_loss: 0.69632 | D_real_acc: 36.88% | D_fake_acc: 90.69% | Class_acc: 99.88%
Epoch 23/400 | G_loss: 0.78656 | D_loss: 0.69313 | D_real_acc: 49.75% | D_fake_acc: 96.75% | Class_acc: 99.88%
Epoch 24/400 | G_loss: 0.82669 | D_loss: 0.68279 | D_real_acc: 53.19% | D_fake_acc: 88.44% | Class_acc: 99.88%
Epoch 25/400 | G_loss: 0.91447 | D_loss: 0.68341 | D_real_acc: 39.12% | D_fake_acc: 80.19% | Class_acc: 99.94%
Epoch 26/400 | G_loss: 0.76327 | D_loss: 0.69503 | D_real_acc: 53.25% | D_fake_acc: 78.88% | Class_acc: 99.88%
Epoch 27/400 | G_loss: 0.78885 | D_loss: 0.68461 | D_real_acc: 42.62% | D_fake_acc: 81.94% | Class_acc: 99.94%
Epoch 28/400 | G_loss: 0.79502 | D_loss: 0.69053 | D_real_acc: 49.38% | D_fake_acc: 69.44% | Class_acc: 99.94%
Epoch 29/400 | G_loss: 0.80718 | D_loss: 0.68888 | D_real_acc: 69.56% | D_fake_acc: 68.31% | Class_acc: 99.94%
Epoch 30/400 | G_loss: 0.78609 | D_loss: 0.68812 | D_real_acc: 48.06% | D_fake_acc: 97.38% | Class_acc: 99.94%
