LD=8
Using: cuda
Epoch 1/400 | G_loss: 0.76241 | D_loss: 1.15435 | D_real_acc: 97.56% | D_fake_acc: 5.12% | Class_acc: 83.88%
Epoch 2/400 | G_loss: 0.75921 | D_loss: 0.85640 | D_real_acc: 74.50% | D_fake_acc: 61.31% | Class_acc: 99.75%
Epoch 3/400 | G_loss: 0.77487 | D_loss: 0.79592 | D_real_acc: 13.69% | D_fake_acc: 91.25% | Class_acc: 99.88%
Epoch 4/400 | G_loss: 0.76216 | D_loss: 0.77549 | D_real_acc: 6.50% | D_fake_acc: 92.94% | Class_acc: 99.81%
Epoch 5/400 | G_loss: 0.77366 | D_loss: 0.75704 | D_real_acc: 0.56% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 6/400 | G_loss: 0.78622 | D_loss: 0.73281 | D_real_acc: 10.06% | D_fake_acc: 100.00% | Class_acc: 99.75%
Epoch 7/400 | G_loss: 0.78639 | D_loss: 0.72280 | D_real_acc: 14.62% | D_fake_acc: 100.00% | Class_acc: 99.75%
Epoch 8/400 | G_loss: 0.78020 | D_loss: 0.72018 | D_real_acc: 20.06% | D_fake_acc: 97.88% | Class_acc: 99.88%
Epoch 9/400 | G_loss: 0.80881 | D_loss: 0.71240 | D_real_acc: 17.38% | D_fake_acc: 99.69% | Class_acc: 99.81%
Epoch 10/400 | G_loss: 0.77213 | D_loss: 0.70940 | D_real_acc: 25.87% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 11/400 | G_loss: 0.80227 | D_loss: 0.71226 | D_real_acc: 28.12% | D_fake_acc: 87.38% | Class_acc: 99.81%
Epoch 12/400 | G_loss: 0.75639 | D_loss: 0.70583 | D_real_acc: 25.50% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 13/400 | G_loss: 0.83655 | D_loss: 0.71666 | D_real_acc: 37.31% | D_fake_acc: 92.31% | Class_acc: 99.81%
Epoch 14/400 | G_loss: 0.80350 | D_loss: 0.70009 | D_real_acc: 22.25% | D_fake_acc: 99.75% | Class_acc: 99.88%
Epoch 15/400 | G_loss: 0.80474 | D_loss: 0.70174 | D_real_acc: 24.38% | D_fake_acc: 91.56% | Class_acc: 99.75%
Epoch 16/400 | G_loss: 0.75203 | D_loss: 0.70373 | D_real_acc: 34.88% | D_fake_acc: 83.31% | Class_acc: 99.88%
Epoch 17/400 | G_loss: 0.76958 | D_loss: 0.71227 | D_real_acc: 19.38% | D_fake_acc: 85.38% | Class_acc: 99.81%
Epoch 18/400 | G_loss: 0.70093 | D_loss: 0.71738 | D_real_acc: 25.56% | D_fake_acc: 50.19% | Class_acc: 99.88%
Epoch 19/400 | G_loss: 0.70938 | D_loss: 0.70943 | D_real_acc: 23.12% | D_fake_acc: 72.00% | Class_acc: 99.81%
Epoch 20/400 | G_loss: 0.71155 | D_loss: 0.70817 | D_real_acc: 27.56% | D_fake_acc: 67.94% | Class_acc: 99.88%
