LD=4
Using: cuda
Epoch 1/400 | G_loss: 0.80421 | D_loss: 1.18111 | D_real_acc: 31.69% | D_fake_acc: 35.00% | Class_acc: 92.56%
Epoch 2/400 | G_loss: 0.91510 | D_loss: 0.86465 | D_real_acc: 32.81% | D_fake_acc: 100.00% | Class_acc: 99.69%
Epoch 3/400 | G_loss: 0.89541 | D_loss: 0.80072 | D_real_acc: 26.62% | D_fake_acc: 97.56% | Class_acc: 99.81%
Epoch 4/400 | G_loss: 0.77431 | D_loss: 0.77587 | D_real_acc: 23.31% | D_fake_acc: 79.44% | Class_acc: 99.81%
Epoch 5/400 | G_loss: 0.74952 | D_loss: 0.76549 | D_real_acc: 12.56% | D_fake_acc: 77.38% | Class_acc: 99.81%
Epoch 6/400 | G_loss: 0.77486 | D_loss: 0.74918 | D_real_acc: 6.94% | D_fake_acc: 99.69% | Class_acc: 99.81%
Epoch 7/400 | G_loss: 0.78185 | D_loss: 0.73729 | D_real_acc: 4.12% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 8/400 | G_loss: 0.79756 | D_loss: 0.71880 | D_real_acc: 13.12% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 9/400 | G_loss: 0.78018 | D_loss: 0.72651 | D_real_acc: 10.62% | D_fake_acc: 99.56% | Class_acc: 99.94%
Epoch 10/400 | G_loss: 0.77957 | D_loss: 0.71073 | D_real_acc: 21.31% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 11/400 | G_loss: 0.80635 | D_loss: 0.71089 | D_real_acc: 10.94% | D_fake_acc: 96.88% | Class_acc: 99.94%
Epoch 12/400 | G_loss: 0.76270 | D_loss: 0.71198 | D_real_acc: 22.50% | D_fake_acc: 87.44% | Class_acc: 99.94%
Epoch 13/400 | G_loss: 0.80108 | D_loss: 0.71048 | D_real_acc: 22.31% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 14/400 | G_loss: 0.76873 | D_loss: 0.70104 | D_real_acc: 28.06% | D_fake_acc: 98.81% | Class_acc: 99.94%
Epoch 15/400 | G_loss: 0.87850 | D_loss: 0.70224 | D_real_acc: 23.06% | D_fake_acc: 98.69% | Class_acc: 99.88%
Epoch 16/400 | G_loss: 0.75189 | D_loss: 0.70975 | D_real_acc: 43.69% | D_fake_acc: 66.81% | Class_acc: 99.81%
Epoch 17/400 | G_loss: 0.77989 | D_loss: 0.70636 | D_real_acc: 33.06% | D_fake_acc: 89.88% | Class_acc: 99.94%
Epoch 18/400 | G_loss: 0.79898 | D_loss: 0.69416 | D_real_acc: 31.56% | D_fake_acc: 88.31% | Class_acc: 99.94%
Epoch 19/400 | G_loss: 0.78658 | D_loss: 0.69643 | D_real_acc: 36.00% | D_fake_acc: 99.38% | Class_acc: 99.94%
Epoch 20/400 | G_loss: 0.84976 | D_loss: 0.69154 | D_real_acc: 36.81% | D_fake_acc: 98.00% | Class_acc: 99.94%
Epoch 21/400 | G_loss: 0.78972 | D_loss: 0.69920 | D_real_acc: 58.94% | D_fake_acc: 66.88% | Class_acc: 99.88%
Epoch 22/400 | G_loss: 0.78547 | D_loss: 0.69526 | D_real_acc: 37.06% | D_fake_acc: 89.88% | Class_acc: 99.94%
Epoch 23/400 | G_loss: 0.80187 | D_loss: 0.68760 | D_real_acc: 35.25% | D_fake_acc: 94.12% | Class_acc: 99.94%
Epoch 24/400 | G_loss: 0.89209 | D_loss: 0.69489 | D_real_acc: 34.81% | D_fake_acc: 84.75% | Class_acc: 99.94%
Epoch 25/400 | G_loss: 0.74382 | D_loss: 0.70447 | D_real_acc: 54.12% | D_fake_acc: 59.75% | Class_acc: 99.94%
Epoch 26/400 | G_loss: 0.78002 | D_loss: 0.69369 | D_real_acc: 40.31% | D_fake_acc: 88.81% | Class_acc: 99.94%
Epoch 27/400 | G_loss: 0.73174 | D_loss: 0.70265 | D_real_acc: 49.31% | D_fake_acc: 59.81% | Class_acc: 99.94%
Epoch 28/400 | G_loss: 0.74836 | D_loss: 0.70840 | D_real_acc: 30.63% | D_fake_acc: 82.00% | Class_acc: 99.94%
Epoch 29/400 | G_loss: 0.70488 | D_loss: 0.70340 | D_real_acc: 47.81% | D_fake_acc: 61.50% | Class_acc: 99.94%
Epoch 30/400 | G_loss: 0.69390 | D_loss: 0.70542 | D_real_acc: 47.94% | D_fake_acc: 46.62% | Class_acc: 99.94%
Epoch 31/400 | G_loss: 0.68003 | D_loss: 0.70607 | D_real_acc: 61.12% | D_fake_acc: 28.56% | Class_acc: 99.94%
Epoch 32/400 | G_loss: 0.71395 | D_loss: 0.70479 | D_real_acc: 44.62% | D_fake_acc: 53.37% | Class_acc: 99.94%
Epoch 33/400 | G_loss: 0.70626 | D_loss: 0.70194 | D_real_acc: 52.19% | D_fake_acc: 58.13% | Class_acc: 99.94%
