LD=64
Using: cuda
Epoch 1/400 | G_loss: 0.81550 | D_loss: 1.08129 | D_real_acc: 90.38% | D_fake_acc: 25.62% | Class_acc: 95.62%
Epoch 2/400 | G_loss: 0.85134 | D_loss: 0.85803 | D_real_acc: 22.56% | D_fake_acc: 96.00% | Class_acc: 99.56%
Epoch 3/400 | G_loss: 0.91171 | D_loss: 0.78163 | D_real_acc: 14.12% | D_fake_acc: 100.00% | Class_acc: 99.62%
Epoch 4/400 | G_loss: 0.81133 | D_loss: 0.76731 | D_real_acc: 13.25% | D_fake_acc: 95.81% | Class_acc: 99.88%
Epoch 5/400 | G_loss: 0.81484 | D_loss: 0.73941 | D_real_acc: 25.56% | D_fake_acc: 99.94% | Class_acc: 99.88%
Epoch 6/400 | G_loss: 0.78925 | D_loss: 0.73169 | D_real_acc: 20.44% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 7/400 | G_loss: 0.74948 | D_loss: 0.73728 | D_real_acc: 28.62% | D_fake_acc: 67.12% | Class_acc: 99.81%
Epoch 8/400 | G_loss: 0.74180 | D_loss: 0.72729 | D_real_acc: 20.69% | D_fake_acc: 70.38% | Class_acc: 99.75%
Epoch 9/400 | G_loss: 0.73508 | D_loss: 0.72207 | D_real_acc: 15.06% | D_fake_acc: 83.69% | Class_acc: 99.81%
Epoch 10/400 | G_loss: 0.73453 | D_loss: 0.71423 | D_real_acc: 46.81% | D_fake_acc: 84.31% | Class_acc: 99.81%
Epoch 11/400 | G_loss: 0.72642 | D_loss: 0.71182 | D_real_acc: 36.50% | D_fake_acc: 63.50% | Class_acc: 99.81%
Epoch 12/400 | G_loss: 0.71102 | D_loss: 0.71451 | D_real_acc: 48.19% | D_fake_acc: 64.19% | Class_acc: 99.75%
Epoch 13/400 | G_loss: 0.71971 | D_loss: 0.70982 | D_real_acc: 64.69% | D_fake_acc: 56.56% | Class_acc: 99.75%
Epoch 14/400 | G_loss: 0.74519 | D_loss: 0.70792 | D_real_acc: 40.12% | D_fake_acc: 93.88% | Class_acc: 99.75%
Epoch 15/400 | G_loss: 0.75701 | D_loss: 0.70599 | D_real_acc: 30.94% | D_fake_acc: 78.25% | Class_acc: 99.81%
Epoch 16/400 | G_loss: 0.71395 | D_loss: 0.70966 | D_real_acc: 43.75% | D_fake_acc: 72.88% | Class_acc: 99.81%
Epoch 17/400 | G_loss: 0.74109 | D_loss: 0.70146 | D_real_acc: 29.62% | D_fake_acc: 91.12% | Class_acc: 99.69%
Epoch 18/400 | G_loss: 0.75432 | D_loss: 0.70706 | D_real_acc: 34.75% | D_fake_acc: 62.44% | Class_acc: 99.81%
Epoch 19/400 | G_loss: 0.75489 | D_loss: 0.70679 | D_real_acc: 36.38% | D_fake_acc: 70.00% | Class_acc: 99.88%
Epoch 20/400 | G_loss: 0.80549 | D_loss: 0.71780 | D_real_acc: 43.75% | D_fake_acc: 97.25% | Class_acc: 99.81%
Epoch 21/400 | G_loss: 0.75138 | D_loss: 0.69939 | D_real_acc: 57.88% | D_fake_acc: 72.38% | Class_acc: 99.81%
Epoch 22/400 | G_loss: 0.73350 | D_loss: 0.70730 | D_real_acc: 49.00% | D_fake_acc: 82.38% | Class_acc: 99.81%
Epoch 23/400 | G_loss: 0.71151 | D_loss: 0.70361 | D_real_acc: 57.38% | D_fake_acc: 55.25% | Class_acc: 99.81%
Epoch 24/400 | G_loss: 0.78328 | D_loss: 0.69061 | D_real_acc: 52.56% | D_fake_acc: 84.81% | Class_acc: 99.81%
Epoch 25/400 | G_loss: 0.74054 | D_loss: 0.70648 | D_real_acc: 31.75% | D_fake_acc: 78.88% | Class_acc: 99.69%
Epoch 26/400 | G_loss: 0.73143 | D_loss: 0.69968 | D_real_acc: 53.87% | D_fake_acc: 60.88% | Class_acc: 99.81%
Epoch 27/400 | G_loss: 0.78617 | D_loss: 0.68834 | D_real_acc: 44.38% | D_fake_acc: 99.50% | Class_acc: 99.75%
Epoch 28/400 | G_loss: 0.71759 | D_loss: 0.70837 | D_real_acc: 48.31% | D_fake_acc: 53.44% | Class_acc: 99.69%
Epoch 29/400 | G_loss: 0.69215 | D_loss: 0.70408 | D_real_acc: 69.31% | D_fake_acc: 46.62% | Class_acc: 99.75%
Epoch 30/400 | G_loss: 0.74241 | D_loss: 0.69089 | D_real_acc: 76.88% | D_fake_acc: 78.56% | Class_acc: 99.75%
Epoch 31/400 | G_loss: 0.78460 | D_loss: 0.70104 | D_real_acc: 76.44% | D_fake_acc: 76.88% | Class_acc: 99.75%
Epoch 32/400 | G_loss: 0.75979 | D_loss: 0.69587 | D_real_acc: 30.19% | D_fake_acc: 61.44% | Class_acc: 99.75%
Epoch 33/400 | G_loss: 0.72388 | D_loss: 0.71246 | D_real_acc: 49.38% | D_fake_acc: 49.38% | Class_acc: 99.81%
Epoch 34/400 | G_loss: 0.73447 | D_loss: 0.70178 | D_real_acc: 56.56% | D_fake_acc: 68.75% | Class_acc: 99.81%
Epoch 35/400 | G_loss: 0.78419 | D_loss: 0.68795 | D_real_acc: 55.50% | D_fake_acc: 52.50% | Class_acc: 99.81%
Epoch 36/400 | G_loss: 0.75001 | D_loss: 0.69364 | D_real_acc: 52.44% | D_fake_acc: 79.44% | Class_acc: 99.69%
Epoch 37/400 | G_loss: 0.75782 | D_loss: 0.68384 | D_real_acc: 59.62% | D_fake_acc: 93.50% | Class_acc: 99.81%
Epoch 38/400 | G_loss: 0.74518 | D_loss: 0.68851 | D_real_acc: 72.69% | D_fake_acc: 70.56% | Class_acc: 99.81%
Epoch 39/400 | G_loss: 0.74834 | D_loss: 0.70556 | D_real_acc: 26.94% | D_fake_acc: 68.69% | Class_acc: 99.81%
Epoch 40/400 | G_loss: 0.74229 | D_loss: 0.69901 | D_real_acc: 44.44% | D_fake_acc: 89.25% | Class_acc: 99.75%
Epoch 41/400 | G_loss: 0.75758 | D_loss: 0.70004 | D_real_acc: 55.25% | D_fake_acc: 74.12% | Class_acc: 99.81%
Epoch 42/400 | G_loss: 0.74244 | D_loss: 0.69800 | D_real_acc: 53.81% | D_fake_acc: 50.19% | Class_acc: 99.81%
Epoch 43/400 | G_loss: 0.73986 | D_loss: 0.70179 | D_real_acc: 46.56% | D_fake_acc: 60.25% | Class_acc: 99.81%
Epoch 44/400 | G_loss: 0.74800 | D_loss: 0.69852 | D_real_acc: 48.44% | D_fake_acc: 73.06% | Class_acc: 99.81%
Epoch 45/400 | G_loss: 0.74098 | D_loss: 0.68937 | D_real_acc: 72.44% | D_fake_acc: 49.94% | Class_acc: 99.81%
Epoch 46/400 | G_loss: 0.75352 | D_loss: 0.69585 | D_real_acc: 60.50% | D_fake_acc: 50.31% | Class_acc: 99.75%
Epoch 47/400 | G_loss: 0.71264 | D_loss: 0.69243 | D_real_acc: 71.38% | D_fake_acc: 63.50% | Class_acc: 99.81%
